lemma,definition,lila_id,synset_id,sem_type,lexemes_pt,own_pt_gloss,argumentSet
accipio,receive willingly something given or offered,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02236124-v"" target=""_blank"">02236124-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,"<small><small>lexemas:</small></small>&ensp;aceitar, topar<br>",<small><small>conceito:</small>&ensp;A única garota que o aceitaria era a filha do moleiro</small><br>,"<small><small>valências:&ensp;[ACT,ORIG,PAT] ou [ACT,PAT]</small></small><br>"
capio,receive willingly something given or offered,lilaLemma:92686,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02236124-v"" target=""_blank"">02236124-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,"<small><small>lexemas:</small></small>&ensp;aceitar, topar<br>",<small><small>conceito:</small>&ensp;A única garota que o aceitaria era a filha do moleiro</small><br>,"<small><small>valências:&ensp;[ACT,ORIG,PAT] ou [ACT,PAT]</small></small><br>"
uox,the relative prominence of a syllable or musical note (especially with regard to stress or pitch),lilaLemma:130806,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=07085375-n"" target=""_blank"">07085375-n</a></small></small><br>",<small><small>categoria:&ensp;comunicação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acento, acentuação, ênfase<br>",,
puto,judge to be probable,lilaLemma:120610,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00712135-v"" target=""_blank"">00712135-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, avaliar, considerar, predizer, prever, prognosticar<br>",<small><small>conceito:</small>&ensp;julgar ser provável</small><br>,"<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT,EFF] ou [ACT,PAT] ou [ACT]</small></small><br>"
credo,deem to be,lilaLemma:96881,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00690614-v"" target=""_blank"">00690614-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, considerar, ver<br>",<small><small>conceito:</small>&ensp;julgar ser</small><br>,"<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT,EFF] ou [ACT,PAT] ou [ACT,REG] ou [ACT,PAT,CPR]</small></small><br>"
fero,deem to be,lilaLemma:103126,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00690614-v"" target=""_blank"">00690614-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, considerar, ver<br>",<small><small>conceito:</small>&ensp;julgar ser</small><br>,"<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT,EFF] ou [ACT,PAT] ou [ACT,REG] ou [ACT,PAT,CPR]</small></small><br>"
pono,deem to be,lilaLemma:118414,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00690614-v"" target=""_blank"">00690614-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, considerar, ver<br>",<small><small>conceito:</small>&ensp;julgar ser</small><br>,"<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT,EFF] ou [ACT,PAT] ou [ACT,REG] ou [ACT,PAT,CPR]</small></small><br>"
cognosco,"discover or determine the existence, presence, or fact of",lilaLemma:94738,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02154508-v"" target=""_blank"">02154508-v</a></small></small><br>",<small><small>categoria:&ensp;percepção</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, descobrir, detectar, observar<br>","<small><small>conceito:</small>&ensp;descobrir ou determinar a existência, presença ou algum fato sobre</small><br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
cognosco,find unexpectedly,lilaLemma:94738,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02286687-v"" target=""_blank"">02286687-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, descobrir, encontrar<br>",,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,BEN]</small></small><br>"
peto,find unexpectedly,lilaLemma:117549,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02286687-v"" target=""_blank"">02286687-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,"<small><small>lexemas:</small></small>&ensp;achar, descobrir, encontrar<br>",,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,BEN]</small></small><br>"
