lemma,lila_id,label,upostag,lila_uri,upostag_pt,fl_cat_pt,gen_pt,number_pt,grade_pt,wrList,var_key,ipo_desc,ipo_lemmaKey,dcc_semGrp,dcc_freqRank,LogeionURL
diuitiae,lilaLemma:99899,diuitiae,NOUN,http://lila-erc.eu/data/id/lemma/99899,substantivo,1ª declinação (tema em -a-),feminino,plural,,"ditiae, diuitie",,,,"Negócios, Dinheiro",712,https://logeion.uchicago.edu/diuitiae
diuerto,lilaLemma:99924,diuerto,VERB,http://lila-erc.eu/data/id/lemma/99924,verbo,3ª conjugação (sem vogal temática),,,,diuorto,,,,,,https://logeion.uchicago.edu/diuerto
diues,lilaLemma:99925,diues,ADJ,http://lila-erc.eu/data/id/lemma/99925,adjetivo,2ª classe (sem vogal temática),,,,,,,,"Negócios, Dinheiro",564,https://logeion.uchicago.edu/diues
diuido,lilaLemma:99932,diuido,VERB,http://lila-erc.eu/data/id/lemma/99932,verbo,3ª conjugação (sem vogal temática),,,,deiuido,,,,"Fazer, Criar",628,https://logeion.uchicago.edu/diuido
do,lilaLemma:99970,do,VERB,http://lila-erc.eu/data/id/lemma/99970,verbo,1ª conjugação (tema em -a-),,,,,,,,Sociedade,28,https://logeion.uchicago.edu/do
doceo,lilaLemma:99971,doceo,VERB,http://lila-erc.eu/data/id/lemma/99971,verbo,2ª conjugação (tema em -e-),,,,,,,,"Educação, Conhecimento",393,https://logeion.uchicago.edu/doceo
doleo,lilaLemma:100021,doleo,VERB,http://lila-erc.eu/data/id/lemma/100021,verbo,2ª conjugação (tema em -e-),,,,,,,,Emoções,785,https://logeion.uchicago.edu/doleo
dolor,lilaLemma:100034,dolor,NOUN,http://lila-erc.eu/data/id/lemma/100034,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,Emoções,193,https://logeion.uchicago.edu/dolor
dolus,lilaLemma:100037,dolus,NOUN,http://lila-erc.eu/data/id/lemma/100037,substantivo,2ª declinação (tema em -o-),masculino,,,dulus,,,,Engano,701,https://logeion.uchicago.edu/dolus
domus,lilaLemma:100071,domus,NOUN,http://lila-erc.eu/data/id/lemma/100071,substantivo,4ª declinação (tema em -u-),feminino,,,,,,,Casa,73,https://logeion.uchicago.edu/domus
donec,lilaLemma:100084,donec,SCONJ,http://lila-erc.eu/data/id/lemma/100084,conjunção subordinativa,indeclinável,,,,"doneque, donique",,,,Tempo,771,https://logeion.uchicago.edu/donec
dono,lilaLemma:100087,dono,VERB,http://lila-erc.eu/data/id/lemma/100087,verbo,1ª conjugação (tema em -a-),,,,,,,,Sociedade,606,https://logeion.uchicago.edu/dono
donum,lilaLemma:100088,donum,NOUN,http://lila-erc.eu/data/id/lemma/100088,substantivo,2ª declinação (tema em -o-),neutro,,,"donom, dunom, dunum",,,,Sociedade,476,https://logeion.uchicago.edu/donum
dormio,lilaLemma:100094,dormio,VERB,http://lila-erc.eu/data/id/lemma/100094,verbo,4ª conjugação (tema em -ī- longo),,,,,,,,Vida e Existência,975,https://logeion.uchicago.edu/dormio
dubito,lilaLemma:100176,dubito,VERB,http://lila-erc.eu/data/id/lemma/100176,verbo,1ª conjugação (tema em -a-),,,,,,,,"Educação, Conhecimento",521,https://logeion.uchicago.edu/dubito
dubius,lilaLemma:100177,dubius,ADJ,http://lila-erc.eu/data/id/lemma/100177,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Engano,528,https://logeion.uchicago.edu/dubius
duco,lilaLemma:100196,duco,VERB,http://lila-erc.eu/data/id/lemma/100196,verbo,3ª conjugação (sem vogal temática),,,,douco,,,,Verbo diretivo ou promissivo,133,https://logeion.uchicago.edu/duco
dulcis,lilaLemma:100227,dulcis,ADJ,http://lila-erc.eu/data/id/lemma/100227,adjetivo,2ª classe (tema em -i-),,,,,,,,,383,https://logeion.uchicago.edu/dulcis
dum,lilaLemma:100236,dum,ADV,http://lila-erc.eu/data/id/lemma/100236,advérbio,indeclinável,,,,,,,,Tempo,103,https://logeion.uchicago.edu/dum
duo,lilaLemma:100246,duo,NUM,http://lila-erc.eu/data/id/lemma/100246,numeral,1ª classe (tema em -a/o-),,,,,,,,Medidas,221,https://logeion.uchicago.edu/duo
durus,lilaLemma:100319,durus,ADJ,http://lila-erc.eu/data/id/lemma/100319,adjetivo,1ª classe (tema em -a/o-),,,,,,,,,249,https://logeion.uchicago.edu/durus
dux,lilaLemma:100327,dux,NOUN,http://lila-erc.eu/data/id/lemma/100327,substantivo,3ª declinação (sem vogal temática),comum de dois gêneros,,,,,,,Guerra e Paz,239,https://logeion.uchicago.edu/dux
ecce,lilaLemma:100515,ecce,ADV,http://lila-erc.eu/data/id/lemma/100515,advérbio,indeclinável,,,,,,,,Visão,643,https://logeion.uchicago.edu/ecce
edico,lilaLemma:100563,edico,VERB,http://lila-erc.eu/data/id/lemma/100563,verbo,3ª conjugação (sem vogal temática),,,,"exdeico, exdico",,,,"Discurso, Oratória",996,https://logeion.uchicago.edu/edico
edo,lilaLemma:100577,edo,VERB,http://lila-erc.eu/data/id/lemma/100577,verbo,3ª conjugação (sem vogal temática),,,,,,,,"Discurso, Oratória",688,https://logeion.uchicago.edu/edo
educo,lilaLemma:100589,educo,VERB,http://lila-erc.eu/data/id/lemma/100589,verbo,3ª conjugação (sem vogal temática),,,,exduco,,,,Verbo diretivo ou promissivo,935,https://logeion.uchicago.edu/educo
efficio,lilaLemma:100627,efficio,VERB,http://lila-erc.eu/data/id/lemma/100627,verbo,5ª conjugação (tema em -ĭ- breve),,,,"ecficio, exefficio, exficio",,,,"Fazer, Criar",573,https://logeion.uchicago.edu/efficio
effundo,lilaLemma:100687,effundo,VERB,http://lila-erc.eu/data/id/lemma/100687,verbo,3ª conjugação (sem vogal temática),,,,"ecfundo, exfundo",,,,Terra e Água,719,https://logeion.uchicago.edu/effundo
ego,lilaLemma:100712,ego,PRON,http://lila-erc.eu/data/id/lemma/100712,pronome,pronominal,,,,"egomet, egopte",,,,,11,https://logeion.uchicago.edu/ego
egredior,lilaLemma:100715,egredior,VERB,http://lila-erc.eu/data/id/lemma/100715,verbo,5ª conjugação depoente (tema em -ĭ- breve),,,,,,,,Viagem,912,https://logeion.uchicago.edu/egredior
egregius,lilaLemma:100716,egregius,ADJ,http://lila-erc.eu/data/id/lemma/100716,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Características pessoais,860,https://logeion.uchicago.edu/egregius
eligo,lilaLemma:100824,eligo,VERB,http://lila-erc.eu/data/id/lemma/100824,verbo,3ª conjugação (sem vogal temática),,,,elego,,,,Cidade,942,https://logeion.uchicago.edu/eligo
equus,lilaLemma:101076,equus,NOUN,http://lila-erc.eu/data/id/lemma/101076,substantivo,2ª declinação (tema em -o-),masculino,,,equos,,,,Plantas e Animais,248,https://logeion.uchicago.edu/equus
enim,lilaLemma:101119,enim,ADV,http://lila-erc.eu/data/id/lemma/101119,advérbio,indeclinável,,,,,,,,,57,https://logeion.uchicago.edu/enim
eo,lilaLemma:101183,eo,VERB,http://lila-erc.eu/data/id/lemma/101183,verbo,irregular,,,,,,,,Movimento,97,https://logeion.uchicago.edu/eo
epistula,lilaLemma:101298,epistula,NOUN,http://lila-erc.eu/data/id/lemma/101298,substantivo,1ª declinação (tema em -a-),feminino,,,epistola,,,,Cultura literária,951,https://logeion.uchicago.edu/epistula
eques,lilaLemma:101354,eques,NOUN,http://lila-erc.eu/data/id/lemma/101354,substantivo,3ª declinação (sem vogal temática),comum de dois gêneros,,,,,,,Guerra e Paz,296,https://logeion.uchicago.edu/eques
ergo,lilaLemma:101415,ergo,PART,http://lila-erc.eu/data/id/lemma/101415,partícula,indeclinável,,,,,,,,,134,https://logeion.uchicago.edu/ergo
eripio,lilaLemma:101432,eripio,VERB,http://lila-erc.eu/data/id/lemma/101432,verbo,5ª conjugação (tema em -ĭ- breve),,,,,,,,Verbo de transporte,349,https://logeion.uchicago.edu/eripio
erro,lilaLemma:101465,erro,VERB,http://lila-erc.eu/data/id/lemma/101465,verbo,1ª conjugação (tema em -a-),,,,,,,,Viagem,402,https://logeion.uchicago.edu/erro
et,lilaLemma:101542,et,CCONJ,http://lila-erc.eu/data/id/lemma/101542,conjunção coordenativa,indeclinável,,,,"e, ed, es, id",,,,,1,https://logeion.uchicago.edu/et
etiam,lilaLemma:101554,etiam,ADV,http://lila-erc.eu/data/id/lemma/101554,advérbio,indeclinável,,,,,,,,,67,https://logeion.uchicago.edu/etiam
ex,lilaLemma:101716,ex,ADP,http://lila-erc.eu/data/id/lemma/101716,preposição,indeclinável,,,,"e, ec, ee, exs",,,,Lugar,26,https://logeion.uchicago.edu/ex
excipio,lilaLemma:101865,excipio,VERB,http://lila-erc.eu/data/id/lemma/101865,verbo,5ª conjugação (tema em -ĭ- breve),,,,escipio,,,,Verbo de transporte,394,https://logeion.uchicago.edu/excipio
exercitus,lilaLemma:101960,exercitus,NOUN,http://lila-erc.eu/data/id/lemma/101960,substantivo,4ª declinação (tema em -u-),masculino,,,,,,,Guerra e Paz,267,https://logeion.uchicago.edu/exercitus
exemplum,lilaLemma:101975,exemplum,NOUN,http://lila-erc.eu/data/id/lemma/101975,substantivo,2ª declinação (tema em -o-),neutro,,,"exemplom, exsemplom, exsemplum",,,,"Discurso, Oratória",519,https://logeion.uchicago.edu/exemplum
exeo,lilaLemma:101980,exeo,VERB,http://lila-erc.eu/data/id/lemma/101980,verbo,irregular,,,,"aexxeo, exseo",,,,Movimento,597,https://logeion.uchicago.edu/exeo
exerceo,lilaLemma:101981,exerceo,VERB,http://lila-erc.eu/data/id/lemma/101981,verbo,2ª conjugação (tema em -e-),,,,,,,,Atletismo,576,https://logeion.uchicago.edu/exerceo
exigo,lilaLemma:102038,exigo,VERB,http://lila-erc.eu/data/id/lemma/102038,verbo,3ª conjugação (sem vogal temática),,,,exsigo,,,,Verbo diretivo ou promissivo,500,https://logeion.uchicago.edu/exigo
exilium,lilaLemma:102045,exilium,NOUN,http://lila-erc.eu/data/id/lemma/102045,substantivo,2ª declinação (tema em -o-),neutro,,,"exiliom, exsiliom, exsilium",,,,Viagem,794,https://logeion.uchicago.edu/exilium
existimo,lilaLemma:102057,existimo,VERB,http://lila-erc.eu/data/id/lemma/102057,verbo,1ª conjugação (tema em -a-),,,,"exaestimo, exaestumo, existumo, extimo",,,,"Educação, Conhecimento",613,https://logeion.uchicago.edu/existimo
experior,lilaLemma:102164,experior,VERB,http://lila-erc.eu/data/id/lemma/102164,verbo,4ª conjugação depoente (tema em -ī- longo),,,,,,,,"Educação, Conhecimento",713,https://logeion.uchicago.edu/experior
exspecto,lilaLemma:102335,exspecto,VERB,http://lila-erc.eu/data/id/lemma/102335,verbo,1ª conjugação (tema em -a-),,,,expecto,,,,Visão,442,https://logeion.uchicago.edu/exspecto
extremus,lilaLemma:102414,extremus,ADJ,http://lila-erc.eu/data/id/lemma/102414,adjetivo,1ª classe (tema em -a/o-),,,superlativo,"exstimus, exstremus, extimus, extumus",,,,Geografia,385,https://logeion.uchicago.edu/extremus
error,lilaLemma:102627,error,NOUN,http://lila-erc.eu/data/id/lemma/102627,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,Viagem,832,https://logeion.uchicago.edu/error
fabula,lilaLemma:102732,fabula,NOUN,http://lila-erc.eu/data/id/lemma/102732,substantivo,1ª declinação (tema em -a-),feminino,,,fatibula,,,,Cultura literária,966,https://logeion.uchicago.edu/fabula
facies,lilaLemma:102752,facies,NOUN,http://lila-erc.eu/data/id/lemma/102752,substantivo,5ª declinação (tema em -e-),feminino,,,,,,,Visão,479,https://logeion.uchicago.edu/facies
facilis,lilaLemma:102754,facilis,ADJ,http://lila-erc.eu/data/id/lemma/102754,adjetivo,2ª classe (tema em -i-),,,,,,,,Características pessoais,451,https://logeion.uchicago.edu/facilis
facinus,lilaLemma:102757,facinus,NOUN,http://lila-erc.eu/data/id/lemma/102757,substantivo,3ª declinação (sem vogal temática),neutro,,,,,,,Justiça,646,https://logeion.uchicago.edu/facinus
facio,lilaLemma:102758,facio,VERB,http://lila-erc.eu/data/id/lemma/102758,verbo,5ª conjugação (tema em -ĭ- breve),,,,,fio,,,"Fazer, Criar",32,https://logeion.uchicago.edu/facio
fallo,lilaLemma:102847,fallo,VERB,http://lila-erc.eu/data/id/lemma/102847,verbo,3ª conjugação (sem vogal temática),,,,,,,,Engano,503,https://logeion.uchicago.edu/fallo
fama,lilaLemma:102868,fama,NOUN,http://lila-erc.eu/data/id/lemma/102868,substantivo,1ª declinação (tema em -a-),feminino,,,,,,,"Discurso, Oratória",278,https://logeion.uchicago.edu/fama
fames,lilaLemma:102875,fames,NOUN,http://lila-erc.eu/data/id/lemma/102875,substantivo,3ª declinação (sem vogal temática),feminino,,,famis,,,,Vida e Existência,828,https://logeion.uchicago.edu/fames
familia,lilaLemma:102885,familia,NOUN,http://lila-erc.eu/data/id/lemma/102885,substantivo,1ª declinação (tema em -a-),feminino,,,,,,,Família,943,https://logeion.uchicago.edu/familia
fateor,lilaLemma:102985,fateor,VERB,http://lila-erc.eu/data/id/lemma/102985,verbo,2ª conjugação depoente (tema em -e-),,,,,,,,Justiça,689,https://logeion.uchicago.edu/fateor
fax,lilaLemma:103040,fax,NOUN,http://lila-erc.eu/data/id/lemma/103040,substantivo,3ª declinação (sem vogal temática),feminino,,,faxs,,,,Ar e Fogo,511,https://logeion.uchicago.edu/fax
felix,lilaLemma:103068,felix,ADJ,http://lila-erc.eu/data/id/lemma/103068,adjetivo,2ª classe (sem vogal temática),,,,"felixs, foelix",,,,Características pessoais,309,https://logeion.uchicago.edu/felix
femina,lilaLemma:103084,femina,NOUN,http://lila-erc.eu/data/id/lemma/103084,substantivo,1ª declinação (tema em -a/e-),feminino,,,foemina,,,,Pessoas,501,https://logeion.uchicago.edu/femina
fere,lilaLemma:103104,fere,ADV,http://lila-erc.eu/data/id/lemma/103104,advérbio,indeclinável,,,,ferme,,,,,907,https://logeion.uchicago.edu/fere
fero,lilaLemma:103126,fero,VERB,http://lila-erc.eu/data/id/lemma/103126,verbo,irregular,,,,,,,,Verbo de transporte,45,https://logeion.uchicago.edu/fero
ferrum,lilaLemma:103152,ferrum,NOUN,http://lila-erc.eu/data/id/lemma/103152,substantivo,2ª declinação (tema em -o-),neutro,,,ferrom,,,,Violência,231,https://logeion.uchicago.edu/ferrum
fessus,lilaLemma:103178,fessus,ADJ,http://lila-erc.eu/data/id/lemma/103178,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Vida e Existência,625,https://logeion.uchicago.edu/fessus
fidelis,lilaLemma:103256,fidelis,ADJ,http://lila-erc.eu/data/id/lemma/103256,adjetivo,2ª classe (tema em -i-),,,,,,,,Características pessoais,979,https://logeion.uchicago.edu/fidelis
fides,lilaLemma:103260,fides,NOUN,http://lila-erc.eu/data/id/lemma/103260,substantivo,5ª declinação (tema em -e-),feminino,,,,,,,Características pessoais,184,https://logeion.uchicago.edu/fides
filia,lilaLemma:103296,filia,NOUN,http://lila-erc.eu/data/id/lemma/103296,substantivo,1ª declinação (tema em -a/e-),feminino,,,"feilia, filea, fileia",,,,Família,909,https://logeion.uchicago.edu/filia
fingo,lilaLemma:103319,fingo,VERB,http://lila-erc.eu/data/id/lemma/103319,verbo,3ª conjugação (sem vogal temática),,,,,,,,"Fazer, Criar",721,https://logeion.uchicago.edu/fingo
finis,lilaLemma:103321,finis,NOUN,http://lila-erc.eu/data/id/lemma/103321,substantivo,3ª declinação (tema em -i-),comum de dois gêneros,,,,,,,Geografia,236,https://logeion.uchicago.edu/finis
fio,lilaLemma:103328,fio,VERB,http://lila-erc.eu/data/id/lemma/103328,verbo,irregular,,,,,facio,,,Vida e Existência,146,https://logeion.uchicago.edu/fio
flamma,lilaLemma:103402,flamma,NOUN,http://lila-erc.eu/data/id/lemma/103402,substantivo,1ª declinação (tema em -a-),feminino,,,flama,,,,Ar e Fogo,298,https://logeion.uchicago.edu/flamma
fleo,lilaLemma:103446,fleo,VERB,http://lila-erc.eu/data/id/lemma/103446,verbo,2ª conjugação (tema em -e-),,,,,,,,Emoções,457,https://logeion.uchicago.edu/fleo
flos,lilaLemma:103489,flos,NOUN,http://lila-erc.eu/data/id/lemma/103489,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,Plantas e Animais,818,https://logeion.uchicago.edu/flos
flumen,lilaLemma:103514,flumen,NOUN,http://lila-erc.eu/data/id/lemma/103514,substantivo,3ª declinação (sem vogal temática),neutro,,,,,,,Terra e Água,283,https://logeion.uchicago.edu/flumen
fluo,lilaLemma:103519,fluo,VERB,http://lila-erc.eu/data/id/lemma/103519,verbo,3ª conjugação (sem vogal temática),,,,,,,,Terra e Água,772,https://logeion.uchicago.edu/fluo
foedus2,lilaLemma:103557,foedus,ADJ,http://lila-erc.eu/data/id/lemma/103557,adjetivo,1ª classe (tema em -a/o-),,,,,,,,,922,https://logeion.uchicago.edu/foedus
fatum,lilaLemma:103575,fatum,NOUN,http://lila-erc.eu/data/id/lemma/103575,substantivo,2ª declinação (tema em -o-),neutro,,,fatom,,,,Religião,157,https://logeion.uchicago.edu/fatum
fons,lilaLemma:103593,fons,NOUN,http://lila-erc.eu/data/id/lemma/103593,substantivo,3ª declinação (sem vogal temática),masculino,,,funtes,,,,Terra e Água,706,https://logeion.uchicago.edu/fons
for,lilaLemma:103600,for,VERB,http://lila-erc.eu/data/id/lemma/103600,verbo,1ª conjugação depoente (tema em -a-),,,,,,,,"Discurso, Oratória",739,https://logeion.uchicago.edu/for
forma,lilaLemma:103630,forma,NOUN,http://lila-erc.eu/data/id/lemma/103630,substantivo,1ª declinação (tema em -a-),feminino,,,,,,,,422,https://logeion.uchicago.edu/forma
fors2,lilaLemma:103682,fors,NOUN,http://lila-erc.eu/data/id/lemma/103682,substantivo,3ª declinação (sem vogal temática),feminino,,,,,,,Religião,993,https://logeion.uchicago.edu/fors
fors,lilaLemma:103683,fors,ADV,http://lila-erc.eu/data/id/lemma/103683,advérbio,indeclinável,,,,"forsam, forsan, forset, forsit, forsitam, forsitan, fortasse, fortassis, forte",,,,Religião,579,https://logeion.uchicago.edu/fors
fortis,lilaLemma:103690,fortis,ADJ,http://lila-erc.eu/data/id/lemma/103690,adjetivo,2ª classe (tema em -i-),,,,,,,,Características pessoais,286,https://logeion.uchicago.edu/fortis
fortuna,lilaLemma:103696,fortuna,NOUN,http://lila-erc.eu/data/id/lemma/103696,substantivo,1ª declinação (tema em -a/e-),feminino,,,,,,,Religião,138,https://logeion.uchicago.edu/fortuna
forum,lilaLemma:103701,forum,NOUN,http://lila-erc.eu/data/id/lemma/103701,substantivo,2ª declinação (tema em -o-),neutro,,,forom,,,,Cidade,811,https://logeion.uchicago.edu/forum
frango,lilaLemma:103738,frango,VERB,http://lila-erc.eu/data/id/lemma/103738,verbo,3ª conjugação (sem vogal temática),,,,,,,,Violência,345,https://logeion.uchicago.edu/frango
frater,lilaLemma:103739,frater,NOUN,http://lila-erc.eu/data/id/lemma/103739,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,Família,225,https://logeion.uchicago.edu/frater
ferus,lilaLemma:103755,ferus,ADJ,http://lila-erc.eu/data/id/lemma/103755,adjetivo,1ª classe (tema em -a/o-),,,,faerus,,,,Plantas e Animais,222,https://logeion.uchicago.edu/ferus
frequens,lilaLemma:103777,frequens,ADJ,http://lila-erc.eu/data/id/lemma/103777,adjetivo,2ª classe (sem vogal temática),,,,,,,,Medidas,918,https://logeion.uchicago.edu/frequens
frons,lilaLemma:103845,frons,NOUN,http://lila-erc.eu/data/id/lemma/103845,substantivo,3ª declinação (sem vogal temática),feminino,,,fruns,,,,Corpo,559,https://logeion.uchicago.edu/frons
fructus,lilaLemma:103880,fructus,NOUN,http://lila-erc.eu/data/id/lemma/103880,substantivo,4ª declinação (tema em -u-),masculino,,,,,,,Plantas e Animais,927,https://logeion.uchicago.edu/fructus
fruor,lilaLemma:103882,fruor,VERB,http://lila-erc.eu/data/id/lemma/103882,verbo,3ª conjugação depoente (sem vogal temática),,,,,,,,Emoções,923,https://logeion.uchicago.edu/fruor
frustra,lilaLemma:103886,frustra,ADV,http://lila-erc.eu/data/id/lemma/103886,advérbio,indeclinável,,,,,,,,,694,https://logeion.uchicago.edu/frustra
fuga,lilaLemma:103915,fuga,NOUN,http://lila-erc.eu/data/id/lemma/103915,substantivo,1ª declinação (tema em -a-),feminino,,,,,,,Viagem,364,https://logeion.uchicago.edu/fuga
fugo,lilaLemma:103921,fugo,VERB,http://lila-erc.eu/data/id/lemma/103921,verbo,1ª conjugação (tema em -a-),,,,,fugio,,,Viagem,957,https://logeion.uchicago.edu/fugo
fugio,lilaLemma:103923,fugio,VERB,http://lila-erc.eu/data/id/lemma/103923,verbo,5ª conjugação (tema em -ĭ- breve),,,,,fugo,,,Viagem,177,https://logeion.uchicago.edu/fugio
fundo,lilaLemma:104012,fundo,VERB,http://lila-erc.eu/data/id/lemma/104012,verbo,3ª conjugação (sem vogal temática),,,,,,,,Terra e Água,523,https://logeion.uchicago.edu/fundo
funus,lilaLemma:104031,funus,NOUN,http://lila-erc.eu/data/id/lemma/104031,substantivo,3ª declinação (sem vogal temática),neutro,,,,,,,Religião,524,https://logeion.uchicago.edu/funus
furor,lilaLemma:104076,furor,NOUN,http://lila-erc.eu/data/id/lemma/104076,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,Emoções,466,https://logeion.uchicago.edu/furor
frumentum,lilaLemma:104126,frumentum,NOUN,http://lila-erc.eu/data/id/lemma/104126,substantivo,2ª declinação (tema em -o-),neutro,,,frumentom,,,,Plantas e Animais,936,https://logeion.uchicago.edu/frumentum
factum,lilaLemma:104164,factum,NOUN,http://lila-erc.eu/data/id/lemma/104164,substantivo,2ª declinação (tema em -o-),neutro,,,factom,,,,"Fazer, Criar",611,https://logeion.uchicago.edu/factum
fluctus,lilaLemma:104173,fluctus,NOUN,http://lila-erc.eu/data/id/lemma/104173,substantivo,4ª declinação (tema em -u-),masculino,,,,,,,Terra e Água,498,https://logeion.uchicago.edu/fluctus
gaudeo,lilaLemma:104365,gaudeo,VERB,http://lila-erc.eu/data/id/lemma/104365,verbo,2ª conjugação (tema em -e-),,,,,,,,Emoções,407,https://logeion.uchicago.edu/gaudeo
gaudium,lilaLemma:104369,gaudium,NOUN,http://lila-erc.eu/data/id/lemma/104369,substantivo,2ª declinação (tema em -o-),neutro,,,gaudiom,,,,Emoções,727,https://logeion.uchicago.edu/gaudium
gens,lilaLemma:104490,gens,NOUN,http://lila-erc.eu/data/id/lemma/104490,substantivo,3ª declinação (sem vogal temática),feminino,,,,,,,Família,194,https://logeion.uchicago.edu/gens
genus,lilaLemma:104504,genus,NOUN,http://lila-erc.eu/data/id/lemma/104504,substantivo,3ª declinação (sem vogal temática),neutro,,,,,,,Família,170,https://logeion.uchicago.edu/genus
gero,lilaLemma:104536,gero,VERB,http://lila-erc.eu/data/id/lemma/104536,verbo,3ª conjugação (sem vogal temática),,,,,,,,Guerra e Paz,237,https://logeion.uchicago.edu/gero
gigno,lilaLemma:104594,gigno,VERB,http://lila-erc.eu/data/id/lemma/104594,verbo,3ª conjugação (sem vogal temática),,,,,,,,Vida e Existência,667,https://logeion.uchicago.edu/gigno
gladius,lilaLemma:104632,gladius,NOUN,http://lila-erc.eu/data/id/lemma/104632,substantivo,2ª declinação (tema em -o-),masculino,,,,,,,Guerra e Paz,862,https://logeion.uchicago.edu/gladius
gloria,lilaLemma:104703,gloria,NOUN,http://lila-erc.eu/data/id/lemma/104703,substantivo,1ª declinação (tema em -a-),feminino,,,geloria,,,,Sociedade,360,https://logeion.uchicago.edu/gloria
gradus,lilaLemma:104801,gradus,NOUN,http://lila-erc.eu/data/id/lemma/104801,substantivo,4ª declinação (tema em -u-),masculino,,,,,,,Guerra e Paz,577,https://logeion.uchicago.edu/gradus
gratia,lilaLemma:104869,gratia,NOUN,http://lila-erc.eu/data/id/lemma/104869,substantivo,1ª declinação (tema em -a-),feminino,,,,,,,Sociedade,380,https://logeion.uchicago.edu/gratia
gratus,lilaLemma:104886,gratus,ADJ,http://lila-erc.eu/data/id/lemma/104886,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Características pessoais,434,https://logeion.uchicago.edu/gratus
grauis,lilaLemma:104903,grauis,ADJ,http://lila-erc.eu/data/id/lemma/104903,adjetivo,2ª classe (tema em -i-),,,,,,,,Medidas,140,https://logeion.uchicago.edu/grauis
habeo,lilaLemma:105044,habeo,VERB,http://lila-erc.eu/data/id/lemma/105044,verbo,2ª conjugação (tema em -e-),,,,,,,,,39,https://logeion.uchicago.edu/habeo
haud,lilaLemma:105206,haud,PART,http://lila-erc.eu/data/id/lemma/105206,partícula,indeclinável,,,,"hau, haut",,,,,226,https://logeion.uchicago.edu/haud
hinc,lilaLemma:105454,hinc,ADV,http://lila-erc.eu/data/id/lemma/105454,advérbio,indeclinável,,,,"hin, hince, huc, huci",,,,Lugar,368,https://logeion.uchicago.edu/hinc
hic,lilaLemma:105455,hic,DET,http://lila-erc.eu/data/id/lemma/105455,determinante,pronominal,,,,"eic, heic, hicc, hicce, hice, ic",,,,,7,https://logeion.uchicago.edu/hic
hiems,lilaLemma:105460,hiems,NOUN,http://lila-erc.eu/data/id/lemma/105460,substantivo,3ª declinação (sem vogal temática),feminino,,,"hiemis, hiemps, hyems",,,,Durações de tempo,803,https://logeion.uchicago.edu/hiems
homo,lilaLemma:105624,homo,NOUN,http://lila-erc.eu/data/id/lemma/105624,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,Pessoas,88,https://logeion.uchicago.edu/homo
honestus,lilaLemma:105645,honestus,ADJ,http://lila-erc.eu/data/id/lemma/105645,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Características pessoais,580,https://logeion.uchicago.edu/honestus
honor,lilaLemma:105647,honor,NOUN,http://lila-erc.eu/data/id/lemma/105647,substantivo,3ª declinação (sem vogal temática),masculino,,,honos,,,,Cidade,290,https://logeion.uchicago.edu/honor
hora,lilaLemma:105663,hora,NOUN,http://lila-erc.eu/data/id/lemma/105663,substantivo,1ª declinação (tema em -a/e-),feminino,,,,,,,Durações de tempo,664,https://logeion.uchicago.edu/hora
hortor,lilaLemma:105727,hortor,VERB,http://lila-erc.eu/data/id/lemma/105727,verbo,1ª conjugação depoente (tema em -a-),,,,horitor,,,,"Discurso, Oratória",887,https://logeion.uchicago.edu/hortor
hospes,lilaLemma:105736,hospes,NOUN,http://lila-erc.eu/data/id/lemma/105736,substantivo,3ª declinação (sem vogal temática),comum de dois gêneros,,,hospis,,,,Sociedade,873,https://logeion.uchicago.edu/hospes
hostis,lilaLemma:105757,hostis,NOUN,http://lila-erc.eu/data/id/lemma/105757,substantivo,3ª declinação (tema em -i-),comum de dois gêneros,,,fostis,,,,Guerra e Paz,93,https://logeion.uchicago.edu/hostis
humanus,lilaLemma:105765,humanus,ADJ,http://lila-erc.eu/data/id/lemma/105765,adjetivo,1ª classe (tema em -a/o-),,,,"hemonus, omanus",,,,Pessoas,355,https://logeion.uchicago.edu/humanus
humus,lilaLemma:105777,humus,NOUN,http://lila-erc.eu/data/id/lemma/105777,substantivo,2ª declinação (tema em -o-),feminino,,,,,,,Terra e Água,740,https://logeion.uchicago.edu/humus
iaceo,lilaLemma:106000,iaceo,VERB,http://lila-erc.eu/data/id/lemma/106000,verbo,2ª conjugação (tema em -e-),,,,,,,,Casa,228,https://logeion.uchicago.edu/iaceo
iacio,lilaLemma:106001,iacio,VERB,http://lila-erc.eu/data/id/lemma/106001,verbo,5ª conjugação (tema em -ĭ- breve),,,,,,,,Atletismo,899,https://logeion.uchicago.edu/iacio
iam,lilaLemma:106025,iam,ADV,http://lila-erc.eu/data/id/lemma/106025,advérbio,indeclinável,,,,iamiam,,,,Tempo,34,https://logeion.uchicago.edu/iam
