lemma,lila_id,label,upostag,lila_uri,upostag_pt,fl_cat_pt,gen_pt,number_pt,grade_pt,wrList,var_key,ipo_desc,ipo_lemmaKey,dcc_semGrp,dcc_freqRank,LogeionURL
tuitus,lilaIpoLemma:45533,tuitus,ADJ,http://lila-erc.eu/data/id/hypolemma/45533,adjetivo,1ª classe (tema em -a/o-),,,,tutus,,particípio passado,"tueor, tueo",Guerra e Paz,365,https://logeion.uchicago.edu/tuitus
uere,lilaIpoLemma:46366,uere,ADV,http://lila-erc.eu/data/id/hypolemma/46366,advérbio,indeclinável,,,,,,advérbio,uerus,"Discurso, Oratória",983,https://logeion.uchicago.edu/uere
subito,lilaIpoLemma:109500,subito,ADV,http://lila-erc.eu/data/id/hypolemma/109500,advérbio,indeclinável,,,,,,,,Tempo,848,https://logeion.uchicago.edu/subito
ea,lilaIpoLemma:110466,ea,ADV,http://lila-erc.eu/data/id/hypolemma/110466,advérbio,indeclinável,,,,eo,,advérbio,is,Lugar,470,https://logeion.uchicago.edu/ea
qua2,lilaIpoLemma:110467,qua,ADV,http://lila-erc.eu/data/id/hypolemma/110467,advérbio,indeclinável,,,,"quaque, qui, quique, quo, quoque",,advérbio,quis,,76,https://logeion.uchicago.edu/qua
qua,lilaIpoLemma:110471,qua,ADV,http://lila-erc.eu/data/id/hypolemma/110471,advérbio,indeclinável,,,,"quam, quamque, quaque, qui, quique, quo",,advérbio,qui,,29,https://logeion.uchicago.edu/qua
nos,lilaIpoLemma:110487,nos,PRON,http://lila-erc.eu/data/id/hypolemma/110487,pronome,pronominal,,,,"enos, nosmet, nospte",,pronome,ego,,51,https://logeion.uchicago.edu/nos
uos,lilaIpoLemma:110488,uos,PRON,http://lila-erc.eu/data/id/hypolemma/110488,pronome,pronominal,,,,"uopte, uosmet, uospte",,pronome,tu,,130,https://logeion.uchicago.edu/uos
quantum,lilaIpoLemma:110678,quantum,ADV,http://lila-erc.eu/data/id/hypolemma/110678,advérbio,indeclinável,,,,,,advérbio,quantus,,557,https://logeion.uchicago.edu/quantum
tantum,lilaIpoLemma:110679,tantum,ADV,http://lila-erc.eu/data/id/hypolemma/110679,advérbio,indeclinável,,,,,,advérbio,tantus,Medidas,216,https://logeion.uchicago.edu/tantum
ceterum,lilaIpoLemma:110680,ceterum,ADV,http://lila-erc.eu/data/id/hypolemma/110680,advérbio,indeclinável,,,,caeterum,,advérbio,ceterus,,571,https://logeion.uchicago.edu/ceterum
potens,lilaIpoLemma:110681,potens,ADJ,http://lila-erc.eu/data/id/hypolemma/110681,adjetivo,2ª classe (sem vogal temática),,,,,,particípio presente,possum,Características pessoais,567,https://logeion.uchicago.edu/potens
