lemma,lila_id,source,entry_id,senseGroup,sense_id,sense_prefix,example_text,example_prenote,example_trad,example_posnote
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s03,3,dare mandata ad aliquem,Cic,encarregar d’um negócio para alguém,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s04,4,dare manum alicui,Virg,Estender a mão a alguem,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s04,4,dare manus,Cæs. Nep. Virg,"Entregar-se, dar por vencido, ceder",
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s01,1,dare merita,Cic,Fazer serviços,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s01,1,dare moras,V. Fl,"Causar demora, retardar",
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s05,5,dare motus incompositos,Virg,Dançar toscamente,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s13,13,dare multa in uulgus,Luc,Fazer por agradar ao povo,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s11,11,dare munus,Suet,Dar jogos,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s14,14,dare mutuum,Ter,Emprestar dinheiro,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s09,9,dare nomen in coniurationem,Tac,Adherir a uma conjuração,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s09,9,dare nomen in Crustuminum,Liv,Dar o nome para colono de Crustumino,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s03,3,dare obsides,Cæs,Dar reféns,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s01,1,dare operam uirtuti,Cic,Applicar-se á virtude,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s14,14,dare paucis,Ter,Dizer em poucas palavras,
do,lilaLemma:99970,Fonseca,Fonseca1798.n09326.e01,Fonseca1798.n09326.sg01,Fonseca1798.n09326.sg01.s99,X,dare paucis,Ter,Dizer brevemente,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s05,5,dare pauorem super gentes,Hier,Lançar o terror entre as nações,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s14,14,dare pecuniam mutuam,,Emprestar dinheiro,
uerbum,lilaLemma:131057,Fonseca,Fonseca1798.n31423.e01,Fonseca1798.n31423.sg01,Fonseca1798.n31423.sg01.s99,X,"dare plura mandata uerbo, quam scripto",Cic,"Recommendar mais cousas de viva voz, do que por escrito",
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s13,13,dare plus stomacho quam consilio,Quint,"Dar mais á ira, do que á razão",
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s14,14,dare pœnas,Cic. Virg,Sêr punido,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s14,14,dare prœlia,Virg,Combater,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s07,7,dare ramos,Suet,Deitar ramos uma arvore,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s14,14,dare rationem,Plaut. Varr,"Dar conta, responder por, sêr responsavel",
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s01,1,dare reditum gloriosum,Cic,Grangear uma volta gloriosa,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s05,5,dare ruinam,Verg,Desabar,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s05,5,dare saltus in ære,Ov,Pular no ar,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s04,4,dare se,Ov,"Sair ao encontro de alguem, dar-se-lhe a mostrar",
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s13,13,dare se ad defendendos homines,Cic,Dar-se á defesa dos accusados,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s13,13,dare se ægritudini,Cic,Entregar-se á tristesa,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s05,5,dare se fugæ,Cic,Fugir,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s04,4,dare se in conspectum alicui,Cic,"Sair ao encontro de alguem, dar-se-lhe a mostrar",
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s05,5,dare se in uiam,Cic,Pôr-se á caminho,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s13,13,dare se legionibus,Tac,Entregar-se todo ao exercito,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s13,13,dare se regibus,Cic,Ligar-se ás pessôas dos reis,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s02,2,dare senatum alicui,Liv,Dar a alguem audiencia do senado,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s03,3,dare seruos in quæstionem,Cic,"Mandar pôr escravos, em tortura",
do,lilaLemma:99970,Fonseca,Fonseca1798.n09326.e01,Fonseca1798.n09326.sg01,Fonseca1798.n09326.sg01.s99,X,dare signum receptui,Liv,Tocar a recolher,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s01,1,dare spem,Virg,Dar esperança,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s05,5,dare stragem,Virg,Assolar,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s14,14,dare supplicium de aliquo,Plaut,Dar um castigo a alguem,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s14,14,dare symbolum,Ter,Pagar a parte que lhe toca no banquete,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s04,4,dare terga,Virg. Quint,"Voltar as costas, fugir",
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s04,4,dare uela,Virg,"Dar á vela, navegar",
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s04,4,dare uela ad id unde flatus ostenditur,Cic,Virar a vela para o lado donde o vento quer soprar,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s11,11,dare uenationes,Suet,Dar representação d’uma caçada,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s02,2,dare ueniam,Virg,Perdoar,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s09,9,dare uerba alicui,Cic. Hor,"Enganar alguem, lograr",
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s10,10,dare uindicias secundum libertatem,Liv,Conceder a liberdade provisoriamente,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s12,12,dare uocem carentibus,Quint,Fazer fallar os objectos inanimados,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s08,8,dat silua fragorem,Ov,A floresta retumba,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s03,3,date huc ensem,Sen. tr,Dae cá uma espada,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s02,2,"dato hoc, dandum erit illud",Cic,"Concede isto, deverá sêr concedido aquillo",
do,lilaLemma:99970,Velez,Velez1744.n1100.e01,Velez1744.n1100.sg01,Velez1744.n1100.sg01.s99,X,datur cernere,,,"i, potest cerni"
habeo,lilaLemma:105044,Saraiva,Saraiva1910.xHabeo,Saraiva1910.xHabeo.sg01,Saraiva1910.xHabeo.sg01.s07,7,de Cæsare satis dictum habeo,Cic,Tenho fallado assaz de Cesar,
ago,lilaLemma:88140,Saraiva,Saraiva1910.xAgo,Saraiva1910.xAgo.sg01,Saraiva1910.xAgo.sg01.s08,8,de conditionibus agebatur,Liv,Tractava-se das condições,
de,lilaLemma:97932,Velez,Velez1744.n0953.e01,Velez1744.n0953.sg01,Velez1744.n0953.sg01.s99,X,de integro,,de novo,
de,lilaLemma:97932,Faria,Faria1994.n08711.e01,Faria1994.n08711.sg01,Faria1994.n08711.sg01.s15,15,"de integro Cíc. Verr. 2, 139 «de novo»: de improviso Cíc. Amer. 151, «de improviso».",,,
nihil,lilaLemma:114071,Faria,Faria1994.n20517.e01,Faria1994.n20517.sg01,Faria1994.n20517.sg01.s03,3,"De nihilo, “por nada, sem razão, sem fundamento” T. Lív. 30. 29. 4.",,,
de,lilaLemma:97932,Velez,Velez1744.n0953.e01,Velez1744.n0953.sg01,Velez1744.n0953.sg01.s99,X,de nocte,,,"i, in nocte, vel per noctem: sic de die"
apud,lilaLemma:89686,Velez,Velez1744.n0347.e01,Velez1744.n0347.sg01,Velez1744.n0347.sg01.s01,1,de Petro apud forum audiui,,ouvi na praça,
de,lilaLemma:97932,Faria,Faria1994.n08711.e01,Faria1994.n08711.sg01,Faria1994.n08711.sg01.s07,7,de publico Cíc. Verr. 105 «às expensas do Estado».,,,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s05,5,deambulatio me ad languorem dedit,Ter,O passeio cançou-me,
in,lilaLemma:106748,Velez,Velez1744.n1646.e01,Velez1744.n1646.sg01,Velez1744.n1646.sg01.s02,2,deambulo in foro,,,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s03,3,debemur morti,Hor,Estamos sujeitos á morte,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s02,2,debentia dici,Hor,O que é mister dizer,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s01,1,debere alicui,Quint,Dever dinheiro a alguém,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s04,4,debere beneficium alicui,Cic,Ser devedor d'um beneficio a alguem,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s03,3,debere fatis scelus putauit,Luc,Julgou que o seu crime era resolvido pelos destinos,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s02,2,debere fidem,Quint,Dever fidelidade,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s02,2,debere gratiam alicui,Cic,Dever reconhecimento a alguém,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s03,3,debere multas mortes,Luc,Deves causar muitas mortes,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s02,2,debere nil iam caelestibus,Virg,"Não dever mais nada aos deuses, i. é, estar morto",
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s01,1,debere pecuniam alicui,Cic,Dever dinheiro a alguém,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s02,2,debere poenas,Virg,Merecer punição,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s01,1,debere reipublicae,Cic,Ser devedor ao estado,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s04,4,debere se alicui,Ov,Dever a vida a alguem,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s02,2,debere sibi spem,Ov,Não esperar,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s04,4,debere uitam alicui,Ov,Dever a vida a alguem,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s02,2,debere uotum,Plin,Estar obrigado por um voto,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s03,3,debere urbem,Ov,Ser obrigado pelo destino a fundar uma cidade,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s02,2,debes hoc rescribere,Hor,Deves responder-me a isto,
debeo,lilaLemma:97963,Saraiva,Saraiva1910.xDebeo,Saraiva1910.xDebeo.sg01,Saraiva1910.xDebeo.sg01.s03,3,debes ludibrium uentis,Hor,Deves ser o ludibrio dos ventos,
deciens,lilaLemma:98063,Velez,,,,,decies sestertium,,,Vide Sestertius.
sestertium,lilaLemma:124629,Velez,,,,,decies sestertium,,,Vide Sestertius.
ago,lilaLemma:88140,Velez,Velez1744.n0201.e01,Velez1744.n0201.sg01,Velez1744.n0201.sg01.s99,X,decimum agere annum,,ir nos dez annos,
quis,lilaLemma:121165,Velez,Velez1744.n2888.e01,Velez1744.n2888.sg01,Velez1744.n2888.sg01.s01,1,decimus quisque militum,,hum de dez soldados,
ago,lilaLemma:88140,Saraiva,Saraiva1910.xAgo,Saraiva1910.xAgo.sg01,Saraiva1910.xAgo.sg01.s13,13,deformitas agendi,Cic,Defeito da declamação,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s04,4,dent modo se superi,Sil,Comtanto que os deuses sejam propicios,
