lemma,prefix,fullEntry
atque,Fonseca,"<b>Atque</b> <br> <small>conj.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; e, do que, assim como. <br> <b>2</b> &ensp; <small>Virg.</small> &ensp; logo. <br> <b>3</b> &ensp; <small>Ter.</small> &ensp; com tudo. </p>"
attingo,Fonseca,<b>Attigo</b> -<b>is</b> -<b>gere</b>
audaciter,Fonseca,<b>Audacter</b> <br> <small>adv.</small>
audio,Fonseca,"<b>Audio</b> -<b>is</b> -<b>ivi</b> -<b>itum</b> -<b>ire</b>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; ouvir, escutar. <br> <b>2</b> &ensp; obedecer. <br> <b>3</b> &ensp; <small>Ter.</small> &ensp; perceber. </p>"
aulicus2,Fonseca,<b>Aulicus</b> -<b>i</b> <br> <small>m.</small>
aut,Fonseca,<b>Aut</b> <br> <small>conj.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; ou. </p>
autem,Fonseca,"<b>Autem</b> <br> <small>conj.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; mas, porém, pois. </p>"
babaecalus,Fonseca,<b>Babecalus</b> <small>vel</small> -<b>a</b> <small>vel</small> -<b>um</b>
Bacchanal,Fonseca,<b>Bacchanale</b> <small>l</small> -<b>lis</b> <small>l</small> <br> <small>n.</small>
barbitos,Fonseca,<b>Barbitos</b> -<b>i</b> <br> <small>m. Hor. f. Ovid.</small>
bardaicus,Fonseca,<b>Bardiacus</b> -<b>a</b> -<b>um</b>
batis,Fonseca,<b>Batis</b> -<b>idis</b> <br> <small>f.</small>
bellum,Fonseca,"<b>Bellum</b> -<b>i</b> <br> <small>n.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; guerra, estado ou tempo de guerra. <br> <b>2</b> &ensp; <small>Sall.</small> &ensp; combate, peleja. </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>gerere bellum cum aliquo &ensp; <small><small>Cic</small></small> &ensp; <small>Andar em guerra com alguem, ou pelejar na companhia de alguem com as forças unidas</small> <br> indicere bellum uentri &ensp; <small><small>Hor</small></small> &ensp; <small>Declarar guerra ao ventre, isto he, não comer, nem beber</small> </p>"
bene,Fonseca,"<b>Bene</b> <br> <small>adv.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; bem, excellentemente. </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>bene mane &ensp; <small><small>Cic</small></small> &ensp; <small>Muito de madrugada</small> <br> bene nummatus &ensp; <small><small>Cic</small></small> &ensp; <small>Muito rico</small> </p>"
biblus,Fonseca,<b>Biblus</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>f.</small>
bidens,Fonseca,<b>Bidens</b> -<b>entis</b> <br> <small>m.</small>
bipennis,Fonseca,<b>Bipennis</b> -<b>is</b> <br> <small>f.</small>
bisextus,Fonseca,<b>Bisextus</b> <small>l</small> -<b>a</b> <small>l</small> -<b>um</b>
bonum,Fonseca,"<b>Bonum</b> -<b>i</b> <br> <small>n.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; bem, utilidade, proveito, commodo. </p>"
bonus,Fonseca,"<b>Bonus</b> -<b>a</b> -<b>um</b> -<b>melior</b> -<b>optimus</b>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; bom, propicio, favoravel. <br> <b>2</b> &ensp; bono genere natus. <br> <b>3</b> &ensp; <small>Cic.</small> &ensp; descendente de huma illustre familia. </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>bona pars hominum &ensp; <small><small>Hor</small></small> &ensp; <small>Grande parte dos homens</small> <br> bona tua uenia &ensp; <small><small>Cic</small></small> &ensp; <small>Com tua permissão</small> </p>"
braca,Fonseca,<b>Bracca</b> <small>&</small> -<b>ae</b> <small>&</small> <br> <small>f.</small>
bubo,Fonseca,<b>Bubo</b> -<b>is</b> -<b>ere</b>
bucerus,Fonseca,<b>Bucerus</b> -<b>a</b> -<b>um</b>
bucetum,Fonseca,<b>Bucitum</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>n.</small>
cachecta,Fonseca,<b>Cachectes</b> <small>l</small> -<b>ae</b> <small>l</small> <br> <small>m.</small>
cachino,Fonseca,<b>Cachino</b> -<b>as</b> -<b>avi</b> -<b>atum</b> -<b>are</b>
cachrys,Fonseca,<b>Cachry</b> -<b>ys</b> <br> <small>f.</small>
caelites,Fonseca,<b>Caelites</b> -<b>tum</b> <br> <small>adject.</small>
caeruleus,Fonseca,<b>Caerulus</b> -<b>a</b> -<b>um</b>
caesicius,Fonseca,<b>Caesitius</b> <small>l</small> -<b>a</b> <small>l</small> -<b>um</b>
ceteroqui,Fonseca,<b>Caeteroquin</b> <small>l</small> <br> <small>adv.</small>
ceterus,Fonseca,"<b>Caeterus</b> -<b>a</b> -<b>um</b>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; restante, que resta. <br> <b>2</b> &ensp; <small>Caetera, accus. do plur. Virg.</small> &ensp; no demais, no restante. &ensp; <small>Subentende-se a prep. Grega Kata, ou a Latina Secundum.</small> </p>"
callithrix,Fonseca,<b>Callithrix</b> -<b>ichis</b> <br> <small>f.</small>
campe,Fonseca,<b>Campe</b> <small>l</small> -<b>es</b> <small>l</small> <br> <small>f.</small>
capio,Fonseca,"<b>Capio</b> -<b>is</b> <b>cepi</b> <b>captum</b> -<b>pere</b>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; tomar, receber. <br> <b>2</b> &ensp; comprender. <br> <b>3</b> &ensp; apoderar-se, cativar. </p>"
capronae,Fonseca,<b>Caproneae</b> <small>l</small> -<b>arum</b> <small>l</small> <br> <small>f. plur.</small>
capio,Fonseca,"<b>Capso</b> -<b>is</b> -<b>it</b> <br> <small>Plaut. por Cepero, is, it.</small>"
carbasinus,Fonseca,<b>Carbasinus</b> -<b>a</b> -<b>um</b>
carnifex,Fonseca,<b>Carnifex</b> -<b>icis</b> <br> <small>m.</small>
carptus,Fonseca,<b>Carptus</b> -<b>us</b> <br> <small>m.</small>
castra,Fonseca,"<b>Castra</b> -<b>orum</b> <br> <small>n. plur.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; arraial, acampamento do exercito. </p>"
cataclysmos,Fonseca,<b>Cataclysmus</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>m.</small>
cataracta,Fonseca,<b>Cataractes</b> -<b>ae</b> <br> <small>m.</small>
causa,Fonseca,"<b>Causa</b> -<b>ae</b> <br> <small>f.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; causa, origem, principio. <br> <b>2</b> &ensp; materia, motivo, razão, pretexto. <br> <b>3</b> &ensp; escusa, apparencia. <br> <b>4</b> &ensp; partido, facção. <br> <b>5</b> &ensp; litigio, demanda. <br> <b>6</b> &ensp; negocio. <br> <b>7</b> &ensp; <small>Tib.</small> &ensp; doença. </p>"
causa,Fonseca,<b>Caussa</b> -<b>ae</b> <br> <small>f.</small> <br> <small>& c. v. Causa.</small>
cauo,Fonseca,<b>Cavo</b> -<b>is</b> -<b>ere</b>
celox,Fonseca,<b>Celox</b> -<b>ocis</b> <br> <small>omn. gen.</small>
centaurium,Fonseca,<b>Centaurium</b> <small>l</small> -<b>ii</b> <small>l</small> <br> <small>n.</small>
cerintha,Fonseca,<b>Cerinthe</b> -<b>es</b> <br> <small>f.</small>
chamaeleon,Fonseca,<b>Chamaeleon</b> -<b>onis</b> -<b>ontis</b> <small>l</small> <br> <small>m.</small>
chamaeleon,Fonseca,<b>Chamaeleon</b> <small>l</small> -<b>onis</b> <small>l</small> -<b>ontis</b> <small>l</small> <br> <small>m.</small>
chelidonia,Fonseca,<b>Chelidonia</b> -<b>orum</b> <br> <small>n. plur.</small>
chelonia,Fonseca,<b>Chelonia</b> -<b>orum</b> <br> <small>n. pl.</small>
cholericus,Fonseca,<b>Cholericus</b> -<b>i</b> <br> <small>m.</small>
choraules,Fonseca,<b>Choraules</b> -<b>is</b> <br> <small>m. Plin.</small>
cicimalindrum,Fonseca,<b>Cicimandrum</b> -<b>i</b> <br> <small>n.</small>
cinnamominus,Fonseca,<b>Cinnaminus</b> <small>l</small> -<b>a</b> <small>l</small> -<b>um</b>
circumcludo,Fonseca,<b>Circumcludo</b> <small>l</small> -<b>is</b> <small>l</small> -<b>si</b> -<b>sum</b> -<b>dere</b>
circumcalco,Fonseca,<b>Circumculco</b> <small>l</small> -<b>as</b> <small>l</small> -<b>avi</b> -<b>atum</b> -<b>are</b>
ciuis,Fonseca,"<b>Civis</b> -<b>is</b> <br> <small>m. f.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; cidadão, Cidadoa. </p>"
ciuitas,Fonseca,"<b>Civitas</b> -<b>atis</b> <br> <small>f.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; cidade. <br> <b>2</b> &ensp; povo, gente de huma Cidade. <br> <b>3</b> &ensp; fóro, privilegios de Cidadão. <br> <b>4</b> &ensp; <small>Caes.</small> &ensp; paiz, Estado, que se governa com as mesmas Leis. </p>"
clatri,Fonseca,<b>Clatri</b> <small>l</small> -<b>orum</b> <small>l</small> <br> <small>m. plur.</small>
claustritumus,Fonseca,<b>Claustritumus</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>m.</small>
cliuia,Fonseca,<b>Clivina</b> <small>l</small> -<b>ae</b> <small>l</small> <br> <small>f.</small>
cnecos,Fonseca,<b>Cnicus</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>m.</small>
cochlear,Fonseca,<b>Cochleare</b> -<b>is</b> <br> <small>n.</small>
cognosco,Fonseca,"<b>Cognosco</b> -<b>is</b> -<b>gnovi</b> -<b>gnitum</b> -<b>cere</b>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; conhecer, entender, saber. <br> <b>2</b> &ensp; conhecer, devaçar, inquirir de huma causa. <br> <b>3</b> &ensp; asseverar em juizo, que conhece alguem. </p>"
colossicus,Fonseca,<b>Colossicus</b> -<b>a</b> -<b>um</b>
comessus2,Fonseca,<b>Comesus</b> -<b>a</b> -<b>um</b>
cometes,Fonseca,<b>Cometes</b> <small>l</small> -<b>ae</b> <small>l</small> <br> <small>m.</small>
commanducatus,Fonseca,<b>Commanducatus</b> -<b>a</b> -<b>um</b> <br> <small>pass. Plin. act. Lucil. apud Non. part. de Commanduco</small>
compar,Fonseca,<b>Compar</b> -<b>aris</b> <br> <small>m.</small>
compar,Fonseca,<b>Compar</b> -<b>aris</b> <br> <small>n.</small>
complicatus,Fonseca,<b>Complicitus</b> -<b>a</b> -<b>um</b> <br> <small>Apul. part. de Complico</small>
comprehendo,Fonseca,<b>Comprendo</b> <br> <small>Virg. por Comprehendo.</small>
comprehensus,Fonseca,<b>Comprensus</b> -<b>a</b> -<b>um</b> <br> <small>Ovid.</small> <br> <small>v. Comprehensus.</small>
concitus,Fonseca,<b>Concitus</b> -<b>a</b> -<b>um</b>
concredo,Fonseca,<b>Concreduo</b> -<b>is</b> -<b>ui</b> -<b>ere</b> <br> <small>Plaut.</small> <br> <small>v. Concredo.</small>
conditiuus,Fonseca,<b>Conditivus</b> -<b>a</b> -<b>um</b>
congermanesco,Fonseca,<b>Congermanisco</b> <small>l</small> -<b>is</b> <small>l</small> -<b>scere</b>
conger,Fonseca,<b>Congrus</b> -<b>a</b> -<b>um</b>
conieratus,Fonseca,<b>Conjuratus</b> -<b>a</b> -<b>um</b> <br> <small>Virg. part. de Conjuro</small>
consequentia,Fonseca,<b>Consequentia</b> -<b>ae</b> <br> <small>f.</small>
consilium,Fonseca,"<b>Consilium</b> -<b>ii</b> <br> <small>n.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; conselho, parecer. <br> <b>2</b> &ensp; designio, projecto, deliberação. <br> <b>3</b> &ensp; congresso dos que aconselhão. </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>consilium est ita facere &ensp; <small><small>Plaut</small></small> &ensp; <small>Está determinado fazer assim</small> <br> in consilio aliquem habere &ensp; <small><small>Plin. Jun</small></small> &ensp; <small>Servir-se do conselho de alguem</small> </p>"
conspicillum,Fonseca,<b>Conspicillum</b> -<b>i</b> <br> <small>n.</small>
consul,Fonseca,<b>Consul</b> -<b>ulis</b> <br> <small>m.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; consul. &ensp; <small>Supremo Magistrado dos Romanos em os tempos da Republica.</small> </p>
contactus2,Fonseca,<b>Contactus</b> -<b>a</b> -<b>um</b> <br> <small>m.</small>
continens,Fonseca,<b>Continens</b> -<b>entis</b> <br> <small>n.</small>
cordyla,Fonseca,<b>Cordylla</b> <small>l</small> -<b>ae</b> <small>l</small> <br> <small>f.</small>
corpus,Fonseca,"<b>Corpus</b> -<b>oris</b> <br> <small>n.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; corpo. <br> <b>2</b> &ensp; obra escrita, volume. <br> <b>3</b> &ensp; <small>Nep.</small> &ensp; homem. <br> <b>4</b> &ensp; <small>Liv.</small> &ensp; familia, tribu. </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>corpus amittere &ensp; <small><small>Cic</small></small> &ensp; <small>Emmagrecer</small> <br> corpus euirare &ensp; <small><small>Catul</small></small> &ensp; <small>Castrar</small> </p>"
coctanum,Fonseca,<b>Cottanum</b> <small>l</small> <br> <small>v. Cotana.</small>
crataegonum,Fonseca,<b>Crataeogonum</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>n.</small>
craticius,Fonseca,<b>Cratitius</b> <small>l</small> -<b>a</b> <small>l</small> -<b>um</b>
credo,Fonseca,"<b>Credo</b> -<b>is</b> -<b>didi</b> -<b>ditum</b> -<b>dere</b>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; crer, dar credito. <br> <b>2</b> &ensp; confiar, commetter, encommendar. <br> <b>3</b> &ensp; <small>Plaut.</small> &ensp; emprestar. </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>credere se Neptuno &ensp; <small><small>Plaut</small></small> &ensp; <small>Embarcar-se</small> <br> in nouos soles gramina se credunt &ensp; <small><small>Virg</small></small> &ensp; <small>As hervas rebentão, ou nascem na primavera</small> </p>"
credo,Fonseca,"<b>Creduam</b> -<b>as</b> -<b>at</b> <br> <small>Plaut. por Credam, as, at.</small>"
credo,Fonseca,"<b>Creduim</b> -<b>is</b> -<b>it</b> <br> <small>Plaut. por Crediderim, is, it.</small>"
Corocotta,Fonseca,<b>Crocuta</b> <small>l</small> <br> <small>v. Corocotta.</small>
crumina,Fonseca,<b>Crumina</b> <small>l</small> -<b>ae</b> <small>l</small> <br> <small>f.</small>
cubicularis,Fonseca,<b>Cubicularis</b> -<b>is</b> <br> <small>m.</small>
cuculus,Fonseca,<b>Cuculus</b> -<b>i</b> <br> <small>m.</small>
cucumis,Fonseca,<b>Cucumis</b> -<b>eris</b> <br> <small>m.</small>
cucus,Fonseca,<b>Cucus</b> -<b>i</b> <br> <small>m.</small>
cudo2,Fonseca,<b>Cudon</b> <small>l</small> -<b>onis</b> <small>l</small> <br> <small>m.</small>
culcitula,Fonseca,<b>Culcitula</b> <small>l</small> -<b>ae</b> <small>l</small>
cum2,Fonseca,"<b>Cum</b> <br> <small>prep. de abl.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; com, juntamente, em companhia. </p>"
cuppedenarius2,Fonseca,<b>Cupediarius</b> <small>l</small> -<b>ii</b> <small>l</small> <br> <small>m.</small>
curulis,Fonseca,<b>Curulis</b> -<b>is</b> <br> <small>f.</small>
cyma,Fonseca,<b>Cyma</b> -<b>atis</b> <br> <small>n.</small>
cyperos,Fonseca,<b>Cyperus</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>m.</small>
cypiros,Fonseca,<b>Cypirus</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>m.</small>
