lemma,lila_id,entry_id,bibref,pdfurl,clpurl,pubyear,prefix,form_lemma,subClass,senseGroup,ontolex.canonicalForm,rdfs.label,PRE.note,lexinfo.note,skos.note,POS.note,form_pre,form_note
as,lilaLemma:90172,Cardoso1570.n02128.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,-<b>As</b> <b>assis</b>,ontolex:Word,Cardoso1570.n02128.sg01,lilaLemma:90172,as,,,,,,
que,lilaLemma:131416,Faria1994.n26527.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>-que</b>,,Faria1994.n26527.sg01,lilaLemma:131416,,,"conj. copulativa, enclítica = et.","Obs.: Partícula enclítica, ligando duas palavras ou membros de frase. Em geral, não se emprega depois de ab, ob, sub, apud, a, ad, mas: exque Cíc. Phil. 3, 38. Geralmente não se emprega depois de sic, tunc, nunc, huc, illuc, mas, raramente: hucque Tác. An. 13,37; tuncque Tác. An. 14, 15. Pode aparecer repetida: -que... -que Plaut. Rud. 369; Sal. B. Jug. 10. 2. Encontra-se também: -que ... et em lugar de et ... et Sal. B. Jug. 26, 1. Aparece: -que... atque Verg. G. 1, 182. A forma -qué alongada na cesura aparece em Verg. En. 3, 91.",,,"conj. copulativa, enclítica = et. <br> Obs.: Partícula enclítica, ligando duas palavras ou membros de frase. Em geral, não se emprega depois de ab, ob, sub, apud, a, ad, mas: exque Cíc. Phil. 3, 38. Geralmente não se emprega depois de sic, tunc, nunc, huc, illuc, mas, raramente: hucque Tác. An. 13,37; tuncque Tác. An. 14, 15. Pode aparecer repetida: -que... -que Plaut. Rud. 369; Sal. B. Jug. 10. 2. Encontra-se também: -que ... et em lugar de et ... et Sal. B. Jug. 26, 1. Aparece: -que... atque Verg. G. 1, 182. A forma -qué alongada na cesura aparece em Verg. En. 3, 91."
ab,lilaLemma:86824,Cardoso1570.n00001.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>A</b>,ontolex:Word,Cardoso1570.n00001.sg01,lilaLemma:86824,a,,praepositio cũ ablatiuo.,scribitur cũ accẽtu graui.,,,praepositio cũ ablatiuo. scribitur cũ accẽtu graui.
ab,lilaLemma:86824,Faria1994.n00003.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>a</b> <br> <b>ab</b> <br> <b>abs</b>,,Faria1994.n00003.sg01,lilaLemma:86824,,,prep. abl. e prev.,"Obs.: Como provérbio, ab- indica afastamento, ausência e Daí privação: abduco“levar para longe, afastar”; amens “privado da razão, louco”. Ab é empregada geralmente antes de vogal e de d, l, n, r, s e da semivogal i j; abs antes de t raro; a antes das demais consoantes. Entretanto no uso corrente, encontram-se exceções que mostram que essas regras não são de caráter absoluto. Em composição ab se emprega antes de vogal, de h e das consoantes d, l, n, r, s; abs antes de c, t; antes de p, abs reduz-se a as; a e a forma reduzida antes das bilabiais b, m.",,,"prep. abl. e prev. <br> Obs.: Como provérbio, ab- indica afastamento, ausência e Daí privação: abduco“levar para longe, afastar”; amens “privado da razão, louco”. Ab é empregada geralmente antes de vogal e de d, l, n, r, s e da semivogal i j; abs antes de t raro; a antes das demais consoantes. Entretanto no uso corrente, encontram-se exceções que mostram que essas regras não são de caráter absoluto. Em composição ab se emprega antes de vogal, de h e das consoantes d, l, n, r, s; abs antes de c, t; antes de p, abs reduz-se a as; a e a forma reduzida antes das bilabiais b, m."
ab,lilaLemma:86824,Velez1744.n0001.e01,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>A</b> <small>significaõ o mesmo</small> <b>Ab</b>,ontolex:Word,Velez1744.n0001.sg01,lilaLemma:86824,a,,praep.,,Fol. III. num. 15. & fol. 263. 30.,,praep.
ab,lilaLemma:86824,Cardoso1570.n00003.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Ab</b>,ontolex:Word,Cardoso1570.n00003.sg01,lilaLemma:86824,ab,,,,,,
ab,lilaLemma:86824,Fonseca1798.n00001.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Ab</b>,ontolex:Word,Fonseca1798.n00001.sg01,lilaLemma:86824,ab,,prepos. de ablat.,,,,prepos. de ablat.
abactus,lilaLemma:91165,Cardoso1570.n00008.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Abactus</b> <b>us</b>,ontolex:Word,Cardoso1570.n00008.sg01,lilaLemma:91165,abactus,,verbale.,,,,verbale.
ab,lilaLemma:86824,Cardoso1570.n00003.e02,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>abs</b>,ontolex:Word,Cardoso1570.n00003.sg01,lilaLemma:86824,abs,&,,,,&,
ab,lilaLemma:86824,Faria1994.n00138.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>abs</b>,,Faria1994.n00138.sg01,lilaLemma:86824,,,,"v. a, ab.",,,"v. a, ab."
ab,lilaLemma:86824,Cardoso1570.n00138.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Abs</b>,ontolex:Word,Cardoso1570.n00138.sg01,lilaLemma:86824,abs,,praepositio.,,,,praepositio.
ab,lilaLemma:86824,Velez1744.n0025.e01,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Abs</b>,ontolex:Word,Velez1744.n0025.sg01,lilaLemma:86824,abs,,praep.,,111. 15. & 264. 14.,,praep.
ab,lilaLemma:86824,Fonseca1798.n00147.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Abs</b>,ontolex:Word,Fonseca1798.n00147.sg01,lilaLemma:86824,abs,,prepos. de ablat. Cic.,v. Ab.,,,prepos. de ablat. Cic. v. Ab.
abscedo,lilaLemma:86985,Cardoso1570.n00140.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Abscedo</b> <b>is</b>,ontolex:Word,Cardoso1570.n00140.sg01,lilaLemma:86985,abscedo,,,,,,
abscessus,lilaLemma:86999,Cardoso1570.n00142.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Abscessus</b> <b>us</b>,ontolex:Word,Cardoso1570.n00142.sg01,lilaLemma:86999,abscessus,,,,,,
abstineo,lilaLemma:87031,Cardoso1570.n00168.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Abstineo</b> -<b>es</b>,ontolex:Word,Cardoso1570.n00168.sg01,lilaLemma:87031,abstineo,,,,,,
atque,lilaLemma:90490,Faria1994.n00220.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>ac</b>,,Faria1994.n00220.sg01,lilaLemma:90490,,,conj.,v. atque.,,,conj. <br> v. atque.
atque,lilaLemma:90490,Cardoso1570.n00201.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Ac</b>,ontolex:Word,Cardoso1570.n00201.sg01,lilaLemma:90490,ac,,cõiunctio copulatiua.,,,,cõiunctio copulatiua.
atque,lilaLemma:90490,Velez1744.n0041.e01,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Ac</b>,ontolex:Word,Velez1744.n0041.sg01,lilaLemma:90490,ac,,conjunct.,,114. 14.,,conjunct.
atque,lilaLemma:90490,Velez1744.n0042.e01,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Ac</b>,ontolex:Word,Velez1744.n0042.sg01,lilaLemma:90490,ac,,Adverb.,,Ibidem 29.,,Adverb.
atque,lilaLemma:90490,Fonseca1798.n00232.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Ac</b>,ontolex:Word,Fonseca1798.n00232.sg01,lilaLemma:90490,ac,,conjunc.,,,,conjunc.
Academia,lilaLemma:19879,Cardoso1570.n00203.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Academia</b> -<b>ae</b>,ontolex:Word,Cardoso1570.n00203.sg01,lilaLemma:19879,academia,,,,,,
accipio,lilaLemma:87119,Faria1994.n00253.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>accēpī</b>,,Faria1994.n00253.sg01,lilaLemma:87119,,,perf. de accipĭo.,,,,perf. de accipĭo.
acceptilatio,lilaLemma:91079,Cardoso1570.n00228.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Acceptilatio</b> <b>onis</b>,ontolex:Word,Cardoso1570.n00228.sg01,lilaLemma:91079,acceptilatio,,,,,,
accersitus,lilaIpoLemma:3085,Fonseca1798.n00263.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Accersitus</b> -<b>a</b> -<b>um</b>,ontolex:Word,Fonseca1798.n00263.sg01,lilaIpoLemma:3085,accersitus,,Cic. part. de Accerso,,,,Cic. part. de Accerso
accidentia,lilaLemma:87111,Fonseca1798.n00272.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Accidentia</b> -<b>ium</b>,ontolex:Word,Fonseca1798.n00272.sg01,lilaLemma:87111,accidentia,,n. pl.,,,,n. pl.
accipio,lilaLemma:87119,Cardoso1570.n00253.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Accipio</b>,ontolex:Word,Cardoso1570.n00253.sg01,lilaLemma:87119,accipio,,,,,,
accipio,lilaLemma:87119,Velez1744.n0049.e01,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Accipio</b> -<b>is</b>,ontolex:Word,Velez1744.n0049.sg01,lilaLemma:87119,accipio,,,,237. 7. 236. 24.,,
accipio,lilaLemma:87119,Fonseca1798.n00279.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Accipio</b> -<b>is</b> -<b>cepi</b> -<b>ceptum</b> -<b>pere</b>,ontolex:Word,Fonseca1798.n00279.sg01,lilaLemma:87119,accipio,,,,,,
accipio,lilaLemma:87119,Faria1994.n00281.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,"<b>accipĭō</b> <b>-is</b> <b>-ĕre</b> <b>-cĕpī, -cēptum</b>",,Faria1994.n00281.sg01,lilaLemma:87119,,,v. tr.,Obs.: Fut. pert. accepso Pacúv. Tr. 325.,,,v. tr. <br> Obs.: Fut. pert. accepso Pacúv. Tr. 325.
accipio,lilaLemma:87119,Cardoso1570.n00250.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Accipio</b> <b>is</b> -<b>epi</b> -<b>eptum</b>,ontolex:Word,Cardoso1570.n00250.sg01,lilaLemma:87119,accipio,,,,,,
accubitio,lilaLemma:87153,Fonseca1798.n00311.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Accubitio</b> -<b>onis</b>,ontolex:Word,Fonseca1798.n00311.sg01,lilaLemma:87153,accubitio,,f.,,,,f.
achelus,lilaLemma:168890,Cardoso1570.n00329.e02,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>achelus</b>,ontolex:Word,Cardoso1570.n00329.sg01,lilaLemma:168890,achelus,,,,,,
acucula,lilaLemma:87321,Cardoso1570.n00334.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Acicula</b> -<b>ae</b>,ontolex:Word,Cardoso1570.n00334.sg01,lilaLemma:87321,acicula,,,,,,
acipenser,lilaLemma:87240,Fonseca1798.n00385.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Acipensis</b> -<b>is</b>,ontolex:Word,Fonseca1798.n00385.sg01,lilaLemma:87240,acipensis,,m.,,,,m.
actus,lilaLemma:91175,Cardoso1570.n00378.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Actus</b> <b>us</b>,ontolex:Word,Cardoso1570.n00378.sg01,lilaLemma:91175,actus,,,,,,
acus2,lilaLemma:87332,Velez1744.n0080.e01,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Acus</b> -<b>aci</b>,ontolex:Word,Velez1744.n0080.sg01,lilaLemma:87332,acus,,,,128. 19.,,
ad,lilaLemma:87344,Faria1994.n00519.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>ad</b>,,Faria1994.n00519.sg01,lilaLemma:87344,,,prep. com acus. e prev.,,,,prep. com acus. e prev.
ad,lilaLemma:87344,Cardoso1570.n00402.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Ad</b>,ontolex:Word,Cardoso1570.n00402.sg01,lilaLemma:87344,ad,,praepositio.,,,,praepositio.
ad,lilaLemma:87344,Velez1744.n0082.e01,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Ad</b>,ontolex:Word,Velez1744.n0082.sg01,lilaLemma:87344,ad,,praepos.,,111. 6.,,praepos.
ad,lilaLemma:87344,Fonseca1798.n00447.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Ad</b>,ontolex:Word,Fonseca1798.n00447.sg01,lilaLemma:87344,ad,,prepos. que rege accus.,,,,prepos. que rege accus.
ademptus,lilaIpoLemma:715,Fonseca1798.n00520.e02,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Ademtus</b> <small>l</small> -<b>a</b> <small>l</small> -<b>um</b>,ontolex:Word,Fonseca1798.n00520.sg01,lilaIpoLemma:715,ademtus,l.,Cic. part. de Adimo.,,,l.,Cic. part. de Adimo.
adeo2,lilaLemma:87421,Cardoso1570.n00438.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Adeo</b> <b>is</b>,ontolex:Word,Cardoso1570.n00438.sg01,lilaLemma:87421,adeo,,,,,,
admitto,lilaLemma:87551,Cardoso1570.n00518.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Admitto</b> <b>is</b>,ontolex:Word,Cardoso1570.n00518.sg01,lilaLemma:87551,admitto,,,,,,
admotus,lilaIpoLemma:846,Fonseca1798.n00674.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Admotus</b> -<b>a</b> -<b>um</b>,ontolex:Word,Fonseca1798.n00674.sg01,lilaIpoLemma:846,admotus,,Plin. part. de Admoveo,,,,Plin. part. de Admoveo
agnascor,lilaLemma:88110,Velez1744.n0199.e02,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Adnascor</b>,ontolex:Word,Velez1744.n0199.sg01,lilaLemma:88110,adnascor,sive,,,,sive,
adolescens,lilaIpoLemma:910,Velez1744.n0117.e10,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Adolescens</b> -<b>tis</b>,ontolex:Word,Velez1744.n0117.sg10,lilaIpoLemma:910,adolescens,,,,,,
adulescentior,lilaLemma:87693,Fonseca1798.n00703.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Adolescentior</b> -<b>oris</b>,ontolex:Word,Fonseca1798.n00703.sg01,lilaLemma:87693,adolescentior,,comp.,,,,comp.
adorsus,lilaIpoLemma:940,Fonseca1798.n00730.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Adortus</b> -<b>a</b> -<b>um</b>,ontolex:Word,Fonseca1798.n00730.sg01,lilaIpoLemma:940,adortus,,part. de Adorior.,,,,part. de Adorior.
aduersus,lilaLemma:87680,Velez1744.n0137.e02,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>adversùm</b>,ontolex:Word,Velez1744.n0137.sg01,lilaLemma:87680,aduersum,vel,,,,vel,
aedes,lilaLemma:87733,Fonseca1798.n00856.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Aedes</b> -<b>dium</b>,ontolex:Word,Fonseca1798.n00856.sg01,lilaLemma:87733,aedes,,f. plur.,,,,f. plur.
aedilicius,lilaLemma:89149,Cardoso1570.n00660.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Aedilitius</b> -<b>a</b> <b>um</b>,ontolex:Word,Cardoso1570.n00660.sg01,lilaLemma:89149,aedilitius,,,,,,
aedes,lilaLemma:87733,Velez1744.n0147.e02,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>aedis</b> -<b>is</b>,ontolex:Word,Velez1744.n0147.sg01,lilaLemma:87733,aedis,vel,,,,vel,
aedes,lilaLemma:87733,Cardoso1570.n00651.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Aedis</b> <b>is</b>,ontolex:Word,Cardoso1570.n00651.sg01,lilaLemma:87733,aedis,,,,,,
aerius,lilaLemma:87894,Fonseca1798.n00948.e02,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Aerius</b> <small>l</small> -<b>a</b> <small>l</small> -<b>um</b>,ontolex:Word,Fonseca1798.n00948.sg01,lilaLemma:87894,aerius,l.,,,,l.,
