lemma,lila_id,entry_id,bibref,pdfurl,clpurl,pubyear,prefix,form_lemma,subClass,senseGroup,ontolex.canonicalForm,rdfs.label,PRE.note,lexinfo.note,skos.note,POS.note,form_pre,form_note
ego,lilaLemma:100712,Fonseca1798.n09823.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Egomet</b>,ontolex:Word,Fonseca1798.n09823.sg01,lilaLemma:100712,egomet,,,,,,
ego,lilaLemma:100712,Faria1994.n10795.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,"<b>egŏmet</b> <b>meīmet, etc.</b>",,Faria1994.n10795.sg01,lilaLemma:100712,,,pron. pess.,Obs.: -met é uma enclítica reforçativa.,,,pron. pess. <br> Obs.: -met é uma enclítica reforçativa.
ego,lilaLemma:100712,Faria1994.n10796.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>egon</b>,,Faria1994.n10796.sg01,lilaLemma:100712,,,= egone.,,,,= egone.
eho,lilaLemma:100722,Fonseca1798.n09835.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Ehodum</b>,ontolex:Word,Fonseca1798.n09835.sg01,lilaLemma:100722,ehodum,,,,,,
is,lilaLemma:109083,Faria1994.n10815.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>eis</b>,,Faria1994.n10815.sg01,lilaLemma:109083,,,dat. e abl. pI. de is.,,,,dat. e abl. pI. de is.
is,lilaLemma:109083,Faria1994.n10831.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>ējus</b> <br> <b>ēius</b>,,Faria1994.n10831.sg01,lilaLemma:109083,,,gen. de is.,,,,gen. de is.
elegia,lilaLemma:102626,Velez1744.n1159.e02,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Elegia</b> -<b>ae</b>,ontolex:Word,Velez1744.n1159.sg01,lilaLemma:102626,elegia,et,,,,et,
elegia,lilaLemma:102626,Fonseca1798.n09907.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Elegia</b> -<b>ae</b>,ontolex:Word,Fonseca1798.n09907.sg01,lilaLemma:102626,elegia,,f.,,,,f.
elenchus,lilaLemma:100794,Cardoso1570.n06645.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Elenchus</b> <b>i</b>,ontolex:Word,Cardoso1570.n06645.sg01,lilaLemma:100794,elenchus,,,,,,
ellam,lilaLemma:100844,Cardoso1570.n06674.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Ellos</b> -<b>as</b>,ontolex:Word,Cardoso1570.n06674.sg01,lilaLemma:100844,ellos,,,,,,
eloco,lilaLemma:100854,Fonseca1798.n09958.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Eloco</b>,ontolex:Word,Fonseca1798.n09958.sg01,lilaLemma:100854,eloco,,adv. Plaut. por Illico.,,,,adv. Plaut. por Illico.
eloco,lilaLemma:100854,Cardoso1570.n06676.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Eloco</b> -<b>as</b>,ontolex:Word,Cardoso1570.n06676.sg01,lilaLemma:100854,eloco,,,,,,
embolarius,lilaLemma:157046,Fonseca1798.n10024.e02,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Emboliarius</b> <small>l</small> -<b>a</b> <small>l</small> -<b>um</b>,ontolex:Word,Fonseca1798.n10024.sg01,lilaLemma:157046,emboliarius,l.,,,,l.,
in,lilaLemma:106748,Fonseca1798.n10147.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Endo</b>,ontolex:Word,Fonseca1798.n10147.sg01,lilaLemma:106748,endo,,prep. Lucr. por In.,,,,prep. Lucr. por In.
in,lilaLemma:106748,Faria1994.n11068.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>endo</b> <br> <small>ou</small> <b>indu</b>,,Faria1994.n11068.sg01,lilaLemma:106748,,<small>ou</small>,"arc., v. in Lucr. 6, 890.",,,,"arc., v. in Lucr. 6, 890."
enecatus,lilaIpoLemma:14259,Cardoso1570.n06782.e02,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Enecatus</b> -<b>a</b> <b>um</b>,ontolex:Word,Cardoso1570.n06782.sg01,lilaIpoLemma:14259,enecatus,vel,,,,vel,
enim,lilaLemma:101119,Faria1994.n11081.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>enim</b>,,Faria1994.n11081.sg01,lilaLemma:101119,,,part. afirm.,"Obs.: Partícula afirmativa, geralmente colocada depois da primeira palavra principal da frase. Como conjunção pode exprimir uma confirmação Cíc. Tusc. 1, 11; ou a causa Cíc. Phil. 2, 32.",,,"part. afirm. <br> Obs.: Partícula afirmativa, geralmente colocada depois da primeira palavra principal da frase. Como conjunção pode exprimir uma confirmação Cíc. Tusc. 1, 11; ou a causa Cíc. Phil. 2, 32."
enim,lilaLemma:101119,Cardoso1570.n06787.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Enim</b>,ontolex:Word,Cardoso1570.n06787.sg01,lilaLemma:101119,enim,,coniunctio.,,,,coniunctio.
enim,lilaLemma:101119,Velez1744.n1179.e01,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Enim</b>,ontolex:Word,Velez1744.n1179.sg01,lilaLemma:101119,enim,,,1. b.,114. 20.,,1. b.
