lemma,lila_id,wr,phon
credo,lilaLemma:96881,creditum,crēdĭtum
cum,lilaLemma:97202,quom,quŏm
de,lilaLemma:97932,de,dē
debeo,lilaLemma:97963,debeo,dēbĕō
debeo,lilaLemma:97963,debes,dēbēs
debeo,lilaLemma:97963,debere,dēbēre
debeo,lilaLemma:97963,debui,dēbŭī
debeo,lilaLemma:97963,debitum,dēbĭtum
debeo,lilaLemma:97963,debui,dēbŭī
deinde,lilaLemma:98386,dein,dĕin
deinde,lilaLemma:98386,deinde,dĕinde
deus,lilaLemma:99132,deus,dĕus
deus,lilaLemma:99132,dei,dĕī
dico,lilaLemma:99302,dic,dīc
dico,lilaLemma:99302,dico,dīcō
dico,lilaLemma:99302,dico,dīcō
dico,lilaLemma:99302,dicis,dīcis
dico,lilaLemma:99302,dicere,dīcĕre
dico,lilaLemma:99302,dixi,dixī
dico,lilaLemma:99302,dixi,dixī
dies,lilaLemma:99334,dies,dĭēs
dies,lilaLemma:99334,diei,dĭēi
do,lilaLemma:99970,dedi,dĕdī
do,lilaLemma:99970,da,dā
do,lilaLemma:99970,do,dō
do,lilaLemma:99970,das,dās
do,lilaLemma:99970,dare,dăre
do,lilaLemma:99970,dedi,dĕdī
do,lilaLemma:99970,datum,dătum
dominus,lilaLemma:98084,dominus,dŏmĭnus
dominus,lilaLemma:98084,domini,dŏmĭnī
domus,lilaLemma:100071,domus,dŏmŭs
domus,lilaLemma:100071,domus,dŏmūs
duo,lilaLemma:100246,duo,dŭŏ
duo,lilaLemma:100246,duae,dŭae
duo,lilaLemma:100246,duo,dŭŏ
ego,lilaLemma:100712,mihi,mĭhi
ego,lilaLemma:100712,mihimet,mĭhimĕt
ego,lilaLemma:100712,me,mē
ego,lilaLemma:100712,mecum,mēcum
ego,lilaLemma:100712,memet,mēmĕt
ego,lilaLemma:100712,ego,ĕgŏ
ego,lilaLemma:100712,me,mē
ego,lilaLemma:100712,mei,mĕi
ego,lilaLemma:100712,mihi,mĭhi
ego,lilaLemma:100712,me,mē
ego,lilaLemma:100712,egomet,ĕgŏmĕt
