lemma,prefix,fullEntry
ab,Faria,"<b>aps</b> <br> <small></small> <br> <small>v. a, ab.</small>"
apud,Faria,"<b>apud</b> <br> <small>prep. com acus.</small> <br> <small>Às vezes aparece proposta ao subs.: Cumas apud Lucr. 6, 747 “perto de Cumas”.</small>   <p> <b>1</b> &ensp; <small>Com nomes de lugar:</small> &ensp; Junto de, ao pé de, perto de: &ensp; <small></small> <br> <b>2</b> &ensp; <small>Com nomes de lugar:</small> &ensp; Em &ensp; <small>principalmente com nomes próprios de localidades: rios. cidades, ilhas, regiões, etc.</small> <br> <b>3</b> &ensp; <small>Com nomes de lugar:</small> &ensp; Diante de &ensp; <small>em lugar de ad, marcando proximidade, com nomes de coisas Cés. B. Gal. 2,7,3.</small> <br> <b>4</b> &ensp; <small>Com nomes de pessoa:</small> &ensp; Em casa de, ao pé de, junto a, perto de &ensp; <small>Cíc. Pomp. 13.</small> <br> <b>5</b> &ensp; <small>Com nomes de pessoa:</small> &ensp; Entre &ensp; <small>principalmente com nomes de povos</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>apud focum Cíc. Rep. 3. 40 «junto ao fogo». <br> <br><b>2</b><br>apud Mantineam Cíc. Fin. 2, 97 “em Mantinéia”. <br> <br><b>5</b><br>apud Romanos, apud maiores nostros Cíc. Verr. 4. 108 “entre os romanos, entre os nossos antepassados”. </p>"
apud,Faria,<b>aput</b> <br> <small>= apud.</small> <br> <small></small>
arma,Faria,"<b>arma</b> <b>-ōrum</b> <br> <small>subs. n. pl.</small> <br> <small></small>   <p> <b>1</b> &ensp; <small>I-Sent. próprio</small> &ensp; Armas em geral, armas defensivas &ensp; <small>em oposição a «tela» Cés. B. Gal. 3. 14. 2.</small> <br> <b>2</b> &ensp; <small>I-Sent. próprio</small> &ensp; Utensílios, instrumentos &ensp; <small>Verg. En. 1, 177.</small> <br> <b>3</b> &ensp; <small>II-Sent. figurado:</small> &ensp; Exército, homens armados &ensp; <small>Cíc. Mil. 3.</small> <br> <b>4</b> &ensp; <small>II-Sent. figurado:</small> &ensp; O combate, as guerras &ensp; <small>Cíc. At. 7, 3, 5.</small> </p>"
at,Faria,"<b>at</b> <br> <small>conj.</small> <br> <small>Obs.: Como conj. adversativa, e frequentemente empregada para reforçar o sentido de outras partículas, como: contra, tamen, enim: «mas ao contrário», ""mas no entanto"", ""mas com efeito"".</small>   <p> <b>1</b> &ensp; <small></small> &ensp; Por outro lado, por outra parte, mas, mas por outro lado, mas ao contrário &ensp; <small>Cíc. Planc. 11.</small> <br> <b>2</b> &ensp; <small></small> &ensp; Pelo menos, ao menos: &ensp; <small></small> <br> <b>3</b> &ensp; <small></small> &ensp; Mas talvez, mas acaso &ensp; <small>Cíc. At. 15, 4, 3.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>2</b><br>sit fur, sit sacrilegus ... at est bonus imperator Cíc. Verr. 5, 44 «que seja ladrão, que seja ímpio... ao menos é um bom general». </p>"
atque,Faria,"<b>atque</b> <br> <small>ou</small> <b>ac</b> <br> <small>conj.</small> <br> <small>Obs.: Atque é geralmente usada antes de vogal ou h, e ac antes de consoante, sendo que tal regra não é de um rigor absoluto.</small>   <p> <b>1</b> &ensp; <small>I-Sent. próprio</small> &ensp; E por outro lado, e o que é mais: &ensp; <small></small> <br> <b>2</b> &ensp; <small>I-Sent. próprio</small> &ensp; E entretanto, e contudo &ensp; <small>frequentemente reforçada por “tamen”;</small> <br> <b>3</b> &ensp; <small>II-Por enfraquecimento de sentido:</small> &ensp; E. &ensp; <small></small> <br> <b>4</b> &ensp; <small>II-Por enfraquecimento de sentido:</small> &ensp; Do que. como, do mesmo modo que &ensp; <small>nas comparações:</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>faciam... ac lubens Ter. Heaut. 763 «farei ... e, o que é mais, com prazer» Cíc. Caec. 24. <br> <br><b>2</b><br>id sustulit ac tamen eo contentus non fuit Cíc. Verr. 4, 190 «roubou-o e entretanto não se satisfez com isso». <br> <br><b>3</b><br>o poema tenerum et moratum atque mlle Cíc. Dív. 1, 66 «ó poema fraco, arrastado e mole». <br> <br><b>4</b><br>vir bonus et prudens did delector ego ac tu Hor. Ep. 1, 16, 32 «eu me regozijo como tu de ser chamado um homem de bem e sensato». </p>"
audio,Faria,"<b>audībam</b> <br> <small>= audiēbam, imperf. do ind. de audĭo.</small> <br> <small></small>"
audio,Faria,"<b>audībo</b> <br> <small>= audĭam, fut. do ind. de audĭo.</small> <br> <small></small>"
audio,Faria,"<b>audĭī</b> <br> <small>= audīvī, perf. de audĭo.</small> <br> <small></small>"
audio,Faria,<b>audin</b> <br> <small>= audīsne 2a pess. sing. do ind. pres. + partícula ne.</small> <br> <small></small>
audio,Faria,"<b>audĭō</b> <b>-īs</b> <b>-īre</b> <b>-īvī -ĭī, -ĭtum</b> <br> <small>v. tr.</small> <br> <small>Obs.: Fut. audibo. -is, etc. Plaut. Capt. 619: imperf. audibam, -as, etc. Ov. F. 3, 507 inf. perf. audisse; m.-que-perf. subj. audissem etc. são formas de emprego frequente.</small>   <p> <b>1</b> &ensp; <small>I-Sent. próprio</small> &ensp; Ouvir, estar com os ouvidos atentos a, escutar &ensp; <small>Cíc. Rep.6, 19.</small> <br> <b>2</b> &ensp; <small>I-Daí</small> &ensp; Entender, compreender &ensp; <small>Plaut. Capt. 240.</small> <br> <b>3</b> &ensp; <small>II-Sent. figurado:</small> &ensp; Ouvir dizer, ter conhecimento de, saber; ser informado &ensp; <small>Cíc. Verr. 4, 117.</small> <br> <b>4</b> &ensp; <small>II-Sent. figurado:</small> &ensp; Escutar, obedecer, acreditar &ensp; <small>Cíc. Verr. 5. 78.</small> <br> <b>5</b> &ensp; <small>II-Sent. figurado:</small> &ensp; Ouvir ou escutar as súplicas de &ensp; <small>tratando-se dos deuses:</small> <br> <b>6</b> &ensp; <small>II-Sent. figurado:</small> &ensp; Ser discípulo de, ouvir as lições de, ouvir uma causa, julgar uma causa &ensp; <small>Cíc. Nat. 1, 72.</small> <br> <b>7</b> &ensp; <small>II-Sent. figurado:</small> &ensp; <small></small> <br> <b>8</b> &ensp; <small>II-Sent. figurado:</small> &ensp; Ser bem ou mal apreciado por alguém: &ensp; <small></small> <br> <b>9</b> &ensp; <small>II-Sent. figurado:</small> &ensp; Poético: ser chamado, nomeado &ensp; <small>Hor. Ep. 1, 7, 38.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>5</b><br>di immortales meas precis audiverunt Cíc. Pis. 43 «os deuses imortais ouviram as minhas súplicas». <br> <br><b>7</b><br>Bene ou male audire -«ter boa ou má reputação» Cíc. De Or. 2, 277. <br> <br><b>8</b><br>bene audire a parentibus Cíc. Fin. 3, 57 «ser bem apreciado pelos pais». </p>"
audio,Faria,<b>audīssem</b> <b>audīsti</b> <br> <small>formas sincopadas de: audivīssem e audivīsti.</small> <br> <small></small>
audio,Faria,<b>audītin</b> <br> <small>= audistisne.</small> <br> <small></small>
