lemma,prefix,fullEntry
do,Velez,"<b>Do</b> <b>das</b>   <p> <b>1</b> &ensp; dar, conceder &ensp; <small>accus. & dat.</small> <br> <b>2</b> &ensp; <small>por</small> &ensp; attribuir, ou imputar &ensp; <small>duos dativ. praeter accus.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>2</b><br>do tibi hoc laudi, uitio, & c &ensp; <small>attribuo-vos, ou imputo-vos isto a louvor, a vicio, etc</small> <br> militibus signum receptui dare &ensp; <small>dar sinal aos soldados a recolher, etc</small> <br> <br><b>X</b><br>alicui operam dare &ensp; <small>ajudar</small> <br> alicuius rei actionem alicui dare &ensp; <small>admittir ao author, para armar demanda de alguma cousa</small> <br> da te mihi &ensp; <small>accommodai-vos á minha vontade</small> <br> dare ciuitatem &ensp; <small>fazer cidadaõ</small> <br> datur cernere &ensp; <small><small>i, potest cerni</small></small> <br> in uiam se dare &ensp; <small>por-se a caminho</small> <br> memoriae datum est &ensp; <small>conta-se</small> <br> nunc quamobrem has partes didicerim, paucis dabo &ensp; <small>direi em poucas palavras</small> <br> operam dare litteris, & c &ensp; <small>applicar-se ás letras, etc</small> <br> paenas dare &ensp; <small>ser castigado</small> <br> pecuniam a trapezita alicui dare &ensp; <small>dar a alguem dinheiro tirando-o do camdiador</small> <br> uerba dare &ensp; <small>enganar</small> <br> ut nobis res dant sese, ita magni, atque humiles sumus &ensp; <small>Como as cousas se nos offerece, assim, etc</small> </p>"
ducenti,Velez,<b>Ducenti</b> -<b>ae</b> -<b>a</b>
dum,Velez,<b>dum</b>
duo,Velez,<b>Duo</b> -<b>ae</b> -<b>o</b> <br> <small>ult. b.</small>   <p> <b>1</b> &ensp; dous </p>
ex,Velez,"<b>E</b> <br> <small>Praep.</small>   <p> <b>1</b> &ensp; de </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>e contrario, uel e diuerso &ensp; <small>pelo contrario</small> <br> e regione &ensp; <small>defronte</small> </p>"
editus,Velez,<b>Editus</b> -<b>a</b> -<b>um</b> <br> <small>Nomen</small> <br> <small>1. l.</small>
elegia,Velez,<b>Elegia</b> -<b>ae</b>
enim,Velez,"<b>Enim</b> <br> <small>1. b.</small>   <p> <b>1</b> &ensp; porque, ou certamente &ensp; <small>Conjunct. pospositiva; conjuncta cum Verò praeponitur</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>enimuero &ensp; <small>na verdade</small> </p>"
eo,Velez,"<b>Eo</b> -<b>is</b> <br> <small>Vide Itum.</small>   <p> <b>1</b> &ensp; ir, ou irse <br> <b>2</b> &ensp; <small>aliquando pro Venire</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>in alicuius sententiam pedibus ire &ensp; <small>seguir o parecer de alguem</small> <br> ire in alia omnia &ensp; <small><small>Contrarium est</small></small> <br> pessum ire &ensp; <small>tornar para traz, ou ir ao fundo</small> </p>"
ergo,Velez,"<b>Ergo</b>   <p> <b>1</b> &ensp; por tanto, ou logo </p>"
