lemma,lila_id,source,entry_id,senseGroup,sense_prefix,sense_predef,sense_def,sense_posdef
differo,lilaLemma:99342,Cardoso,Cardoso1570.n05909.e01,Cardoso1570.n05909.sg01,1,,dilatar. ou turbar,actiuo.
acer,lilaLemma:87184,Fonseca,Fonseca1798.n00343.e01,Fonseca1798.n00343.sg01,3,,diligente.,
dimitto,lilaLemma:99509,Fonseca,Fonseca1798.n08899.e01,Fonseca1798.n08899.sg01,3,,"dimittir, deixar perder.",
pecunia,lilaLemma:116369,Faria,Faria1994.n22609.e01,Faria1994.n22609.sg01,3,"II-Daí, em sent. geral",Dinheiro,"Cíc. Verr. 1, 101."
pecunia,lilaLemma:116369,Fonseca,Fonseca1798.n21239.e01,Fonseca1798.n21239.sg01,1,Cic.,"dinheiro, moeda.",
argentum,lilaLemma:89933,Fonseca,Fonseca1798.n02285.e01,Fonseca1798.n02285.sg01,2,Plaut.,"dinheiro, moeda.",
aes,lilaLemma:87918,Fonseca,Fonseca1798.n00967.e01,Fonseca1798.n00967.sg01,2,,dinheiro.,
praemium,lilaLemma:119037,Fonseca,Fonseca1798.n23496.e01,Fonseca1798.n23496.sg01,3,Naev. apud Non.,dinheiro.,
aurum,lilaLemma:90802,Faria,Faria1994.n03550.e01,Faria1994.n03550.sg01,4,II-Sent. figurado:,Dinheiro. riqueza,"Verg. En. 3, 56."
regio,lilaLemma:121675,Faria,Faria1994.n27148.e01,Faria1994.n27148.sg01,1,I-Sent. próprio,"Direção em linha reta, linha reta","Cés. B. Gal. 7, 46. 1."
cura,lilaLemma:97301,Faria,Faria1994.n08397.e01,Faria1994.n08397.sg01,2,I-Daí: na língua administrativa:,"Direção, administração, encargo, incumbência",Suet. Aug. 36.
ius,lilaLemma:109252,Faria,Faria1994.n17271.e01,Faria1994.n17271.sg01,4,II-Daí,Direito,em relação às pessoas ou às coisas:
ius,lilaLemma:109252,Faria,Faria1994.n17271.e01,Faria1994.n17271.sg01,5,II-Daí,Direito,sent. genérico:
iter,lilaLemma:109132,Faria,Faria1994.n17086.e01,Faria1994.n17086.sg01,5,II-Sent. figurado:,Direito de passagem,"Cés. B. Gal. 1. 8, 3."
auctoritas,lilaLemma:90620,Faria,Faria1994.n03431.e01,Faria1994.n03431.sg01,6,,"Direito de propriedade, poder, jurisdição","Cíc. Verr. 2, 121."
fructus,lilaLemma:103880,Faria,Faria1994.n13177.e01,Faria1994.n13177.sg01,1,I-Sent. próprio,"Direito de receber e guardar como propriedade os produtos de seus bens, gozo desses produtos, fruto, proveito","Cíc. De Or. 1, 2."
ius,lilaLemma:109252,Faria,Faria1994.n17271.e01,Faria1994.n17271.sg01,2,II-Daí,"Direito escrito, leis, legislação:",
ius,lilaLemma:109252,Faria,Faria1994.n17271.e01,Faria1994.n17271.sg01,6,II-Daí,"Direito sobre alguém ou alguma coisa, poder, autoridade:",
dexter,lilaLemma:97855,Fonseca,Fonseca1798.n08652.e01,Fonseca1798.n08652.sg01,1,Cic.,"direito, da parte direita.",
ius,lilaLemma:109252,Fonseca,Fonseca1798.n16407.e01,Fonseca1798.n16407.sg01,1,Cic.,"direito, justiça, equidade.",
rectus,lilaIpoLemma:38296,Faria,Faria1994.n26960.e11,Faria1994.n26960.sg11,2,Sent. figurado:,"Direto, simples, sem rodeios","Cíc. Of. 1, 130."
rectus,lilaIpoLemma:38296,Faria,Faria1994.n26960.e11,Faria1994.n26960.sg11,5,Sent. figurado:,"Dirigido para diante, que não se volta, fixo, firme","sent. moral Cíc. Fam. 12, 5, 2."
rego,lilaLemma:122542,Faria,Faria1994.n27163.e01,Faria1994.n27163.sg01,1,A-Tr.-Sent. próprio:,"Dirigir em linha reta, marcar os limites","sents. físico e moral Cíc. Leg. 1, 55; Verg. En. 9, 409."
appello,lilaLemma:89580,Faria,Faria1994.n02484.e01,Faria1994.n02484.sg01,2,I-Daí,"Dirigir-se a alguém com um pedido, solicitar, recorrer a, suplicar, invocar",Cíc. Amer. 77.
adeo2,lilaLemma:87421,Faria,Faria1994.n00577.e01,Faria1994.n00577.sg01,4,B-Tr.:-Sent. próprio:,"Dirigir-se a, aproximar-se","Cés. B. Gal. 4, 20, 2."
rogo,lilaLemma:122853,Faria,Faria1994.n27815.e01,Faria1994.n27815.sg01,1,I-Sent. primitivo,"Dirigir-se a, e daí: dirigir-se para perguntar, fazer uma pergunta, interrogar, perguntar","Cíc. Q. F r. 2, 2, 1: Cíc. Fin. 5, 83; Plaut. Curc. 245: Cíc. Fin. 5. 83."
ago,lilaLemma:88140,Saraiva,Saraiva1910.xAgo,Saraiva1910.xAgo.sg01,8,,"dirigir-se a, fallar, dizer, practicar;",
sequor,lilaLemma:124461,Faria,Faria1994.n29068.e01,Faria1994.n29068.sg01,2,I-Daí:,Dirigir-se para,"Cíc. At. 10, 18, 2."
infero,lilaLemma:107649,Faria,Faria1994.n15907.e01,Faria1994.n15907.sg01,6,II-Reflexivo ou passivo,"dirigir-se para, ir contra, avançar, lançar-se, introduzir-se",Cíc. Font. 44; Cíc. Balo. 25.
ago,lilaLemma:88140,Faria,Faria1994.n01300.e01,Faria1994.n01300.sg01,2,I-Daí:,"Dirigir-se para, ir, vir",reflexivo ou passivo com sentido reflexivo Verg. En. 6. 337.
peto,lilaLemma:117549,Faria,Faria1994.n23702.e01,Faria1994.n23702.sg01,1,I-Sent. próprio,"Dirigir-se para, procurar atingir primeiramente com ideia secundária de violência ou hostilidade, atacar sents. físico e moral, visar","Cíc. Nat. 2, 125; Verg. G. 3, 522; Cíc. Nat. 2, 2, 2; Cíc. Quinct. 29."
eo,lilaLemma:101183,Faria,Faria1994.n11132.e01,Faria1994.n11132.sg01,2,I-Daí:,"Dirigir-se, caminhar, andar, marchar, vir","Cés. B. Gal. 7, 67, 2."
descendo,lilaLemma:98862,Faria,Faria1994.n09388.e01,Faria1994.n09388.sg01,2,I-Daí:,"Dirigir-se, ir, penetrar, entrar","Sal. B. Jug. 11, 7; Cíc. De Or. 2, 22."
specto,lilaLemma:125299,Fonseca,Fonseca1798.n28225.e01,Fonseca1798.n28225.sg01,6,,"dirigir-se, ter por fim.",
teneo,lilaLemma:127822,Faria,Faria1994.n31462.e01,Faria1994.n31462.sg01,10,B-Intr.:-Daí:,"Dirigir, chegar","Verg. En. 1, 370; T. Lív. 1, 37, 4; Tác. Agr. 38."
refero,lilaLemma:122494,Fonseca,Fonseca1798.n25507.e01,Fonseca1798.n25507.sg01,3,,"dirigir, encaminhar a algum fim.",
disciplina,lilaLemma:99609,Faria,Faria1994.n09954.e01,Faria1994.n09954.sg01,2,"I-Daí, em sent. particular",Disciplina militar,"T. Lív. 1, 19, 4."
orbis,lilaLemma:115196,Faria,Faria1994.n21758.e01,Faria1994.n21758.sg01,3,"II-Daí, em sent. especial, passou a designar objetos de forma esférica ou circular, como",Disco,"do sol, da lua Verg. G. 1, 459."
oratio,lilaLemma:115179,Faria,Faria1994.n21744.e01,Faria1994.n21744.sg01,4,"II-Donde, na língua retórica:",Discurso,tratando-se do orador Cíc. Br. 91.
sermo,lilaLemma:124494,Fonseca,Fonseca1798.n27553.e01,Fonseca1798.n27553.sg01,2,,"discurso, conversaçaõ, pratica.",
sumo,lilaLemma:126707,Fonseca,Fonseca1798.n29333.e01,Fonseca1798.n29333.sg01,5,Plaut.,"dispender, fazer dispeza.",
fundo,lilaLemma:104012,Faria,Faria1994.n13317.e01,Faria1994.n13317.sg01,4,II-Na língua militar,"dispersar, pôr em fuga, derrotar",Cíc. Arch. 21.
compono,lilaLemma:95367,Faria,Faria1994.n06761.e01,Faria1994.n06761.sg01,10,II-Do sent. de “por juntamente” decorrem:,"Dispor, combinar, regular, consertar","Cíc. At. 4; 9, 1."
uoluntas,lilaLemma:130763,Faria,Faria1994.n34162.e01,Faria1994.n34162.sg01,4,II-Daí,Disposição,"para com alguém Cíc. Fam. 2, 17, 6."
mens,lilaLemma:112038,Faria,Faria1994.n19306.e01,Faria1994.n19306.sg01,6,IV-Sents. diversos:,"Disposição de espírito, espírito",sent. particular Cíc. Har. 58.
facies,lilaLemma:102752,Fonseca,Fonseca1798.n11429.e01,Fonseca1798.n11429.sg01,3,,"disposição, estado, medo, fórma.",
recens,lilaLemma:121510,Faria,Faria1994.n26861.e01,Faria1994.n26861.sg01,2,II-Sent. figurado,"Disposto, não fatigado, novo",T. Lív. 21. 52. 2.
pugna,lilaLemma:120407,Fonseca,Fonseca1798.n24595.e01,Fonseca1798.n24595.sg01,2,,"disputa, contenda de palavras.",
pugno,lilaLemma:120417,Fonseca,Fonseca1798.n24605.e01,Fonseca1798.n24605.sg01,2,,"disputar, contrariar, teimar.",
quaero,lilaLemma:121047,Fonseca,Fonseca1798.n24888.e01,Fonseca1798.n24888.sg01,5,,"disputar, questionar.",
corrumpo,lilaLemma:96706,Fonseca,Fonseca1798.n07011.e01,Fonseca1798.n07011.sg01,3,Sall.,"dissipar, destruir.",
perdo,lilaLemma:116738,Fonseca,Fonseca1798.n21580.e01,Fonseca1798.n21580.sg01,4,,"dissipar, estragar, dispender prodigiosamente.",
