lemma,prefix,fullEntry
ineo,Cardoso,<b>Ineo</b> <b>is</b>
iniussus,Cardoso,<b>Iniussus</b> <b>us</b>
inquam,Cardoso,<b>Inquam</b>   <p> <b>1</b> &ensp; torno à dizer </p>
inquam,Cardoso,<b>Inquio</b> <b>is</b>   <p> <b>1</b> &ensp; dizer </p>
insperabiliter,Cardoso,<b>Insperabiliter</b> <br> <small>aduerb.</small>
instratus2,Cardoso,<b>Instratus</b> -<b>a</b> <b>um</b>
intellectus,Cardoso,<b>Intellectus</b> <b>us</b>
inter,Cardoso,<b>Inter</b> <br> <small>praepositio.</small>   <p> <b>1</b> &ensp; entre </p>
internecio,Cardoso,<b>internicio</b> <b>nis</b>
interpolis,Cardoso,<b>Interpolis</b> -<b>e</b>
intestabilis,Cardoso,<b>Intestabilis</b> -<b>e</b>
intubus,Cardoso,<b>intibus</b> <b>i</b>
intritum,Cardoso,<b>Intritum</b> <b>i</b>
intritum,Cardoso,<b>Intritum</b> <b>i</b>
introrsum,Cardoso,<b>introrsus</b> <br> <small>aduerb.</small>
inuitabilis,Cardoso,<b>Inuitabilis</b> -<b>e</b>
ir,Cardoso,<b>ir</b> <br> <small>indecli.</small>
is,Cardoso,<b>Is</b> <b>ea</b> <b>id</b>   <p> <b>1</b> &ensp; este </p>
insicia,Cardoso,<b>isitia</b> -<b>ae</b>
iste,Cardoso,<b>Iste</b> <b>ista</b> <b>istud</b>   <p> <b>1</b> &ensp; essé </p>
istac,Cardoso,<b>Isthac</b> <br> <small>aduerb.</small>
ita,Cardoso,<b>Ita</b> <br> <small>aduerb. similitudinis.</small>   <p> <b>1</b> &ensp; assi </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>ita legit </p>
ita,Cardoso,<b>Ita</b>
itaque,Cardoso,<b>Itaque</b>   <p> <b>1</b> &ensp; assique </p>
iubeo,Cardoso,<b>Iubeo</b> -<b>es</b> <b>iussi</b> <b>iussum</b>   <p> <b>1</b> &ensp; mãdar como iussũ </p>
Iudaea,Cardoso,<b>Iudaea</b> -<b>ae</b>
iudex,Cardoso,<b>Iudex</b> <b>icis</b>   <p> <b>1</b> &ensp; ho juyz </p>
iudicium,Cardoso,<b>Iudicium</b> <b>ij</b>   <p> <b>1</b> &ensp; ho juyzo </p>
iugum,Cardoso,<b>Iugum</b> <b>i</b>
iugum,Cardoso,<b>Iugum</b> <b>i</b>
iugum,Cardoso,<b>Iugum</b> <b>i</b>
iugum,Cardoso,<b>Iugum</b> <b>i</b>
ius,Cardoso,<b>Ius</b> <b>uris</b>   <p> <b>1</b> &ensp; ho dereyto </p>
lactes,Cardoso,<b>Lactes</b> <b>ium</b>
lagona,Cardoso,<b>lagona</b> -<b>ae</b>
laridum,Cardoso,<b>laridum</b> <b>i</b>
larus,Cardoso,<b>Larus</b> <b>lari</b>
lecythus,Cardoso,<b>Lechytus</b> <b>i</b>
legio,Cardoso,<b>Legio</b> <b>onis</b>   <p> <b>1</b> &ensp; a legião de gente de pee </p>
lego2,Cardoso,<b>Lego</b> -<b>as</b> -<b>aui</b>
lento,Cardoso,<b>Lento</b> -<b>as</b> -<b>aui</b>
leucoma,Cardoso,<b>Leucoma</b> <b>leucomatis</b>
lex,Cardoso,<b>Lex</b> -<b>egis</b>   <p> <b>1</b> &ensp; a ley </p>
libella,Cardoso,<b>Libella</b> -<b>ae</b> <br> <small>dim.</small>
licet,Cardoso,<b>Licebit</b> <br> <small>coniunctio</small>   <p> <b>1</b> &ensp; ainda que </p>
licet,Cardoso,<b>Licet</b> <br> <small>coniunctio</small>   <p> <b>1</b> &ensp; ainda que </p>
licet,Cardoso,<b>Licet</b> <b>licebat</b>   <p> <b>1</b> &ensp; ser licito. ou poder </p>
lignatio,Cardoso,<b>Lignatio</b> <b>onis</b>
limax,Cardoso,<b>Limax</b> -<b>acis</b>
linamentum,Cardoso,<b>Linamentum</b> <b>i</b>
linea,Cardoso,<b>Linea</b> -<b>eae</b>
lingo,Cardoso,<b>lingo</b>
lingulaca,Cardoso,<b>Lingulaca</b> -<b>ae</b>
lineamentum,Cardoso,<b>liniamentum</b> <b>i</b>
liquide,Cardoso,<b>liquide</b> <br> <small>aduerb.</small>
liuor,Cardoso,<b>Liuor</b> <b>oris</b>
locellus,Cardoso,<b>Locellus</b> <b>i</b>
loco,Cardoso,<b>Loco</b> -<b>as</b>
loco,Cardoso,<b>Loco</b> -<b>as</b>
loculus,Cardoso,<b>Loculus</b> <b>i</b>
locus,Cardoso,<b>Locus</b> <b>i</b>   <p> <b>1</b> &ensp; ho lugar. ou passo de liuro </p>
lolligo,Cardoso,<b>lolligo</b> <b>onis</b>
lora,Cardoso,<b>lorea</b> -<b>eae</b>
ludo,Cardoso,<b>Ludo</b> <b>is</b>
