"lila_id","freq"
"http://lila-erc.eu/data/id/lemma/130822","7233"
"http://lila-erc.eu/data/id/lemma/112499","7232"
"http://lila-erc.eu/data/id/lemma/91351","7210"
"http://lila-erc.eu/data/id/lemma/129223","7201"
"http://lila-erc.eu/data/id/hypolemma/110679","7172"
"http://lila-erc.eu/data/id/hypolemma/110488","7152"
"http://lila-erc.eu/data/id/lemma/88191","7152"
"http://lila-erc.eu/data/id/lemma/130905","7143"
"http://lila-erc.eu/data/id/lemma/96322","7136"
"http://lila-erc.eu/data/id/lemma/115236","7065"
"http://lila-erc.eu/data/id/lemma/87302","7050"
"http://lila-erc.eu/data/id/lemma/109170","6993"
"http://lila-erc.eu/data/id/lemma/96146","6990"
"http://lila-erc.eu/data/id/lemma/103260","6981"
"http://lila-erc.eu/data/id/lemma/89365","6976"
"http://lila-erc.eu/data/id/lemma/89692","6902"
"http://lila-erc.eu/data/id/lemma/115098","6892"
"http://lila-erc.eu/data/id/lemma/135768","6869"
"http://lila-erc.eu/data/id/lemma/130476","6859"
"http://lila-erc.eu/data/id/lemma/89164","6815"
"http://lila-erc.eu/data/id/hypolemma/113585","6814"
"http://lila-erc.eu/data/id/lemma/116130","6809"
"http://lila-erc.eu/data/id/lemma/127630","6786"
"http://lila-erc.eu/data/id/lemma/97835","6725"
"http://lila-erc.eu/data/id/lemma/4810","6697"
"http://lila-erc.eu/data/id/lemma/129468","6658"
"http://lila-erc.eu/data/id/lemma/123717","6620"
"http://lila-erc.eu/data/id/lemma/130923","6611"
"http://lila-erc.eu/data/id/hypolemma/18676","6550"
"http://lila-erc.eu/data/id/lemma/1947","6537"
"http://lila-erc.eu/data/id/lemma/116136","6515"
"http://lila-erc.eu/data/id/lemma/129429","6467"
"http://lila-erc.eu/data/id/lemma/110176","6467"
"http://lila-erc.eu/data/id/lemma/90641","6425"
"http://lila-erc.eu/data/id/lemma/119990","6412"
"http://lila-erc.eu/data/id/lemma/126999","6294"
"http://lila-erc.eu/data/id/lemma/92796","6292"
"http://lila-erc.eu/data/id/lemma/121318","6278"
"http://lila-erc.eu/data/id/lemma/118652","6266"
"http://lila-erc.eu/data/id/lemma/109161","6208"
"http://lila-erc.eu/data/id/lemma/115170","6150"
"http://lila-erc.eu/data/id/lemma/115363","6087"
"http://lila-erc.eu/data/id/lemma/113387","6081"
"http://lila-erc.eu/data/id/lemma/100517","6078"
"http://lila-erc.eu/data/id/lemma/8329","6059"
"http://lila-erc.eu/data/id/lemma/122569","6029"
"http://lila-erc.eu/data/id/lemma/114811","5916"
"http://lila-erc.eu/data/id/lemma/124826","5893"
"http://lila-erc.eu/data/id/lemma/98386","5883"
"http://lila-erc.eu/data/id/lemma/110796","5862"
"http://lila-erc.eu/data/id/lemma/100071","5815"
"http://lila-erc.eu/data/id/lemma/100236","5794"
"http://lila-erc.eu/data/id/hypolemma/35374","5774"
"http://lila-erc.eu/data/id/lemma/123320","5711"
"http://lila-erc.eu/data/id/lemma/103321","5697"
"http://lila-erc.eu/data/id/lemma/112318","5674"
"http://lila-erc.eu/data/id/lemma/91473","5648"
"http://lila-erc.eu/data/id/lemma/101294","5613"
"http://lila-erc.eu/data/id/lemma/89580","5578"
"http://lila-erc.eu/data/id/lemma/116222","5549"
"http://lila-erc.eu/data/id/lemma/117499","5544"
"http://lila-erc.eu/data/id/lemma/113289","5525"
"http://lila-erc.eu/data/id/lemma/129509","5515"
"http://lila-erc.eu/data/id/lemma/109129","5472"
"http://lila-erc.eu/data/id/lemma/128764","5457"
"http://lila-erc.eu/data/id/lemma/96424","5448"
"http://lila-erc.eu/data/id/lemma/105757","5448"
"http://lila-erc.eu/data/id/lemma/94738","5439"
"http://lila-erc.eu/data/id/lemma/89075","5436"
