"lemma","Caesar_Freq","Caesar_NormFreq","Cicero_Freq","Cicero_NormFreq","Horatius_Freq","Horatius_NormFreq","Ovidius_Freq","Ovidius_NormFreq","Phaedrus_Freq","Phaedrus_NormFreq","Sallustius_Freq","Sallustius_NormFreq","Seneca_Freq","Seneca_NormFreq","Suetonius_Freq","Suetonius_NormFreq","Tacitus_Freq","Tacitus_NormFreq","Vergilius_Freq","Vergilius_NormFreq","Hieronymus_Freq","Hieronymus_NormFreq","author_DP"
"large",0,0,2,0.124591961326655,1,0.888020602077968,0,0,1,1.5181417944436,1,0.927557740469344,1,0.186633321513223,0,0,0,0,0,0,0,0,0.400762935412197
"largitor",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"largus",0,0,1,0.0622959806633276,1,0.888020602077968,0,0,2,3.0362835888872,0,0,3,0.559899964539669,0,0,0,0,1,1.93050193050193,0,0,0.609449254916098
"Larinum",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lasciuus",0,0,1,0.0622959806633276,3,2.6640618062339,1,1.71585449553878,0,0,0,0,1,0.186633321513223,0,0,0,0,0,0,0,0,0.607430849951414
"later",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"laterensis",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"Laterium",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"latiaris",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"latini",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"latiniensis",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"latinus",0,0,13,0.809847748623259,2,1.77604120415594,0,0,0,0,1,0.927557740469344,1,0.186633321513223,0,0,0,0,1,1.93050193050193,0,0,0.293658111421924
"latio",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"Latium",0,0,1,0.0622959806633276,2,1.77604120415594,0,0,1,1.5181417944436,0,0,0,0,0,0,0,0,5,9.65250965250965,0,0,0.809066641401099
"lator",0,0,5,0.311479903316638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"latrocinor",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lauatus",0,0,3,0.186887941989983,0,0,0,0,0,0,0,0,1,0.186633321513223,0,0,0,0,0,0,0,0,0.257845132083843
"laudabilis",0,0,1,0.0622959806633276,0,0,0,0,1,1.5181417944436,0,0,0,0,0,0,0,0,0,0,0,0,0.477167398636353
"laudatio",0,0,9,0.560663825969948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"laudator",0,0,7,0.436071864643293,0,0,0,0,0,0,0,0,1,0.186633321513223,0,0,0,0,0,0,0,0,0.318573629679955
"laudo",0,0,73,4.54760658842291,15,13.3203090311695,2,3.43170899107756,6,9.10885076666161,8,7.42046192375475,17,3.17276646572479,1,11.0253583241455,3,10.2986611740474,0,0,0,0,0.179095250805051
"laureatus",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"laureola",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"laute",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"laxus",0,0,1,0.0622959806633276,1,0.888020602077968,0,0,0,0,0,0,3,0.559899964539669,0,0,0,0,2,3.86100386100386,0,0,0.614424713422602
"lectica",0,0,2,0.124591961326655,1,0.888020602077968,0,0,0,0,0,0,2,0.373266643026446,0,0,0,0,0,0,0,0,0.375237355758065
"lectulus",0,0,2,0.124591961326655,1,0.888020602077968,0,0,0,0,0,0,1,0.186633321513223,0,0,0,0,0,0,0,0,0.275237355758065
"lectus",0,0,6,0.373775883979966,4,3.55208240831187,0,0,2,3.0362835888872,0,0,2,0.373266643026446,0,0,0,0,0,0,3,6.74005841383959,0.452116459133091
"lectus2",0,0,6,0.373775883979966,0,0,0,0,0,0,2,1.85511548093869,1,0.186633321513223,0,0,0,0,0,0,0,0,0.295092201990511
"legitimus",0,0,6,0.373775883979966,0,0,0,0,0,0,2,1.85511548093869,0,0,0,0,0,0,0,0,0,0,0.406203313101622
"lego",0,0,57,3.55087089780967,9,7.99218541870171,0,0,8,12.1451343555488,1,0.927557740469344,18,3.35939978723801,0,0,2,6.86577411603158,2,3.86100386100386,1,2.24668613794653,0.14957238081703
"lego2",0,0,6,0.373775883979966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lenio",0,0,7,0.436071864643293,1,0.888020602077968,1,1.71585449553878,0,0,2,1.85511548093869,2,0.373266643026446,0,0,0,0,1,1.93050193050193,0,0,0.242581224370951
"leno",0,0,5,0.311479903316638,0,0,0,0,0,0,0,0,1,0.186633321513223,0,0,0,0,0,0,0,0,0.276906963013289
"lente",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,2,0.373266643026446,0,0,0,0,0,0,0,0,0.314271502403888
"Lento",0,0,4,0.24918392265331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lentulus",0,0,44,2.74102314918641,0,0,0,0,0,0,21,19.4787125498562,0,0,0,0,0,0,0,0,0,0,0.406203313101622
"lentus",0,0,6,0.373775883979966,2,1.77604120415594,1,1.71585449553878,2,3.0362835888872,0,0,4,0.746533286052892,0,0,0,0,0,0,0,0,0.332203084324988
"leontinus",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lepide",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lepidus",0,0,14,0.872143729286586,0,0,0,0,0,0,1,0.927557740469344,2,0.373266643026446,0,0,0,0,0,0,0,0,0.288556254278092
"Lepta",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lepusculus",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,1,0.186633321513223,0,0,0,0,0,0,0,0,0.314271502403888
"Leucata",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"Leucopetra",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
