"lemma","I a.C._Freq","I a.C._NormFreq","I d.C._Freq","I d.C._NormFreq","II d.C._Freq","II d.C._NormFreq","IV d.C._Freq","IV d.C._NormFreq","period_DP"
"polcre",6,0.279264603211543,2,0.305950741930549,0,0,0,0,0.0286698718504217
"Poleas",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"polio",2,0.0930882010705143,1,0.152975370965275,0,0,0,0,0.106740476017161
"polite",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"pollens",1,0.0465441005352572,2,0.305950741930549,0,0,0,0,0.440073809350494
"pollex",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"polliceor",68,3.16499883639749,1,0.152975370965275,0,0,0,0,0.240769975543406
"pollicitatio",3,0.139632301605771,0,0,0,0,0,0,0.255262729166594
"pollicitor",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"Pollio",3,0.139632301605771,0,0,0,0,0,0,0.255262729166594
"polluo",5,0.232720502676286,2,0.305950741930549,1,2.61780104712042,0,0,0.135165828396726
"polus",4,0.186176402141029,6,0.917852225791647,0,0,0,0,0.373407142683827
"Polycharmus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"Polyclitus",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"Polyhymnia",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"polypus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"pomarium",2,0.0930882010705143,1,0.152975370965275,0,0,0,0,0.106740476017161
"pompa",1,0.0465441005352572,4,0.611901483861098,0,0,0,0,0.573407142683827
"pompeianus",11,0.511985105887829,0,0,0,0,0,0,0.255262729166594
"pompeius",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"Pompeius",190,8.84337910169886,7,1.07082759675692,3,7.85340314136126,0,0,0.207021414879494
"Pompilius",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"Pomponia",7,0.3258087037468,0,0,0,0,0,0,0.255262729166594
"pomponius",11,0.511985105887829,1,0.152975370965275,0,0,0,0,0.171929395833261
"pomptinus",18,0.837793809634629,0,0,0,0,0,0,0.255262729166594
"pomum",2,0.0930882010705143,3,0.458926112895824,0,0,0,0,0.373407142683827
"ponderosus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"pondus",14,0.6516174074936,17,2.60058130640967,0,0,0,0,0.321794239458021
"pono",107,4.98021875727252,72,11.0142267094998,0,0,5,11.2334306897326,0.176456845990072
"pons",29,1.34977891552246,2,0.305950741930549,0,0,0,0,0.190746600134336
