"lemma","Prosa histórica_Freq","Prosa histórica_NormFreq","Prosa filosófica_Freq","Prosa filosófica_NormFreq","Prosa oratória_Freq","Prosa oratória_NormFreq","Prosa epistolográfica_Freq","Prosa epistolográfica_NormFreq","Poesia lírica_Freq","Poesia lírica_NormFreq","Poesia didática_Freq","Poesia didática_NormFreq","Poesia trágica_Freq","Poesia trágica_NormFreq","Poesia épica_Freq","Poesia épica_NormFreq","Prosa ficcional_Freq","Prosa ficcional_NormFreq","genre_DP"
"peritia",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"perlucidus",0,0,1,0.164741931763892,0,0,0,0,1,0.84125515268781,0,0,0,0,0,0,0,0,0.74838729804396
"perlustro",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"permadesco",0,0,2,0.329483863527784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"permistus",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"permultus",0,0,2,0.329483863527784,12,1.15215116223248,3,0.794933623042476,2,1.68251030537562,0,0,0,0,0,0,0,0,0.361690750546081
"pernocto",0,0,1,0.164741931763892,2,0.192025193705414,0,0,0,0,0,0,0,0,0,0,0,0,0.428564495946147
"perpendo",0,0,1,0.164741931763892,1,0.0960125968527071,0,0,0,0,0,0,0,0,0,0,0,0,0.428564495946147
"perperam",0,0,2,0.329483863527784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"perplexus",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,2,1.73731758165393,0,0,0,0,0.749687165284186
"persae",0,0,3,0.494225795291676,0,0,0,0,2,1.68251030537562,0,0,0,0,0,0,0,0,0.74838729804396
"persaepe",0,0,1,0.164741931763892,4,0.384050387410828,0,0,2,1.68251030537562,0,0,0,0,0,0,0,0,0.454911938327365
"persaluto",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"persano",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"perscrutatio",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"perscrutor",0,0,1,0.164741931763892,2,0.192025193705414,0,0,0,0,1,0.848248367121893,0,0,0,0,0,0,0.387700136226087
"perseuerantia",0,0,1,0.164741931763892,5,0.480062984263535,0,0,0,0,0,0,0,0,0,0,0,0,0.472306472876681
"persicus",0,0,2,0.329483863527784,0,0,0,0,1,0.84125515268781,0,0,0,0,0,0,0,0,0.74838729804396
"persona",0,0,9,1.48267738587503,10,0.960125968527071,2,0.529955748694984,1,0.84125515268781,1,0.848248367121893,0,0,0,0,0,0,0.259539556128117
"personatus",0,0,1,0.164741931763892,0,0,0,0,1,0.84125515268781,0,0,0,0,0,0,0,0,0.74838729804396
"perspicuus",0,0,1,0.164741931763892,5,0.480062984263535,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.365300823942515
"persto",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"perstringo",0,0,2,0.329483863527784,1,0.0960125968527071,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.408776183659109
"perstudiosus",0,0,1,0.164741931763892,0,0,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.658776183659109
"persuasio",0,0,2,0.329483863527784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"persulto",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"pertenaciter",0,0,2,0.329483863527784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"pertinax",0,0,1,0.164741931763892,1,0.0960125968527071,0,0,1,0.84125515268781,0,0,0,0,0,0,0,0,0.415053964710626
"perturbate",0,0,2,0.329483863527784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"perturbatus",0,0,2,0.329483863527784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"peruagor",0,0,1,0.164741931763892,1,0.0960125968527071,0,0,0,0,0,0,1,0.868658790826963,0,0,0,0,0.416353831950852
"peruerse",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"peruersitas",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"peruersus",0,0,3,0.494225795291676,0,0,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.658776183659109
"peruerto",0,0,2,0.329483863527784,1,0.0960125968527071,0,0,0,0,0,0,0,0,0,0,0,0,0.456258023069466
"peruideo",0,0,1,0.164741931763892,0,0,0,0,1,0.84125515268781,0,0,0,0,0,0,0,0,0.74838729804396
"peruium",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"perutilis",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"pessumdo",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,1,0.868658790826963,0,0,0,0,0.749687165284186
"pestifer",0,0,1,0.164741931763892,6,0.576075581116242,1,0.264977874347492,0,0,1,0.848248367121893,0,0,0,0,0,0,0.375886557601065
"pestis",0,0,8,1.31793545411113,26,2.49632751817038,0,0,1,0.84125515268781,0,0,4,3.47463516330785,1,1.93050193050193,0,0,0.356113448946414
"petitor",0,0,1,0.164741931763892,0,0,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.658776183659109
"phalereus",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"Phasis",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"Phidias",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"Philippus",0,0,1,0.164741931763892,7,0.672088177968949,3,0.794933623042476,0,0,0,0,0,0,0,0,2,4.49337227589306,0.41580633231326
"Philositus",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"philosophia",0,0,32,5.27174181644454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"philosophor",0,0,6,0.988451590583351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"philosophus",0,0,15,2.47112897645838,1,0.0960125968527071,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.67194429757927
"Philus",0,0,4,0.658967727055567,0,0,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.658776183659109
"Phocis",0,0,1,0.164741931763892,0,0,0,0,0,0,1,0.848248367121893,2,1.73731758165393,0,0,0,0,0.708822805564125
"Phoebus",0,0,1,0.164741931763892,0,0,0,0,2,1.68251030537562,8,6.78598693697515,27,23.453787352328,1,1.93050193050193,0,0,0.83443086568314
"phreneticus",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"piamentum",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"Picens",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"pictor",0,0,1,0.164741931763892,3,0.288037790558121,1,0.264977874347492,0,0,0,0,0,0,0,0,0,0,0.308157966799658
"pictura",0,0,1,0.164741931763892,2,0.192025193705414,0,0,0,0,0,0,0,0,1,1.93050193050193,0,0,0.410608996467827
"pie",0,0,3,0.494225795291676,3,0.288037790558121,0,0,0,0,0,0,1,0.868658790826963,0,0,0,0,0.388660304827534
"piger",0,0,2,0.329483863527784,0,0,0,0,6,5.04753091612686,1,0.848248367121893,4,3.47463516330785,0,0,0,0,0.724181236956332
"piget",0,0,3,0.494225795291676,0,0,0,0,1,0.84125515268781,0,0,3,2.60597637248089,0,0,0,0,0.708483106925346
"pignus",0,0,1,0.164741931763892,7,0.672088177968949,1,0.264977874347492,1,0.84125515268781,0,0,2,1.73731758165393,0,0,0,0,0.391198223399228
"pigritia",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"pila",0,0,2,0.329483863527784,1,0.0960125968527071,0,0,1,0.84125515268781,0,0,0,0,0,0,0,0,0.49838729804396
"pilleatus",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"pinarius",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"pinguesco",0,0,2,0.329483863527784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"pinguis",0,0,1,0.164741931763892,1,0.0960125968527071,0,0,2,1.68251030537562,0,0,2,1.73731758165393,2,3.86100386100386,0,0,0.650936251044227
"Pisistratus",0,0,1,0.164741931763892,0,0,0,0,0,0,1,0.848248367121893,0,0,0,0,0,0,0.748726996682739
"pius",0,0,1,0.164741931763892,3,0.288037790558121,0,0,2,1.68251030537562,2,1.69649673424379,3,2.60597637248089,5,9.65250965250965,0,0,0.610071891324166
"placidus",0,0,7,1.15319352234724,0,0,0,0,0,0,4,3.39299346848757,5,4.34329395413482,4,7.72200772200772,0,0,0.690867306085805
"plaga",0,0,2,0.329483863527784,1,0.0960125968527071,3,0.794933623042476,0,0,0,0,2,1.73731758165393,0,0,3,6.74005841383959,0.541124805847102
"planta",0,0,2,0.329483863527784,0,0,0,0,0,0,0,0,1,0.868658790826963,0,0,0,0,0.749687165284186
"platanus",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,1,0.868658790826963,0,0,0,0,0.749687165284186
"Plato",0,0,2,0.329483863527784,0,0,3,0.794933623042476,0,0,0,0,0,0,0,0,0,0,0.658776183659109
"platon",0,0,8,1.31793545411113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"platonicus",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"plaudo",0,0,2,0.329483863527784,2,0.192025193705414,3,0.794933623042476,2,1.68251030537562,0,0,0,0,0,0,0,0,0.395349903078047
"plausus",0,0,4,0.658967727055567,9,0.864113371674364,6,1.58986724608495,1,0.84125515268781,0,0,0,0,1,1.93050193050193,0,0,0.258522218486307
"plebeius",0,0,1,0.164741931763892,2,0.192025193705414,4,1.05991149738997,0,0,1,0.848248367121893,0,0,0,0,0,0,0.453320467536249
"plecto",0,0,1,0.164741931763892,0,0,0,0,1,0.84125515268781,1,0.848248367121893,0,0,0,0,0,0,0.707522938323899
"pluma",0,0,1,0.164741931763892,0,0,0,0,0,0,1,0.848248367121893,1,0.868658790826963,0,0,0,0,0.708822805564125
"pluuia",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"podagricus",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"poeni",0,0,4,0.658967727055567,2,0.192025193705414,0,0,0,0,0,0,0,0,3,5.79150579150579,0,0,0.549413634702257
"poeninus",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"poeta",0,0,5,0.823709658819459,13,1.24816375908519,2,0.529955748694984,8,6.73004122150248,0,0,0,0,0,0,0,0,0.347769081184508
"polenta",0,0,2,0.329483863527784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"Poliorcetes",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"polleo",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"Polyaenus",0,0,2,0.329483863527784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"pomarium",0,0,2,0.329483863527784,0,0,0,0,1,0.84125515268781,0,0,0,0,0,0,0,0,0.74838729804396
