lemma,collocate,pos,LogL,LR,MI,LogDice
numerus,dies,substantivo,6.3,2.8,2.5,9.2
numerus,ex,preposição,11.1,2.5,2.4,9.2
numerus,noster,determinante,5.3,2.5,2.3,9.1
numerus,is,determinante,17.1,2,2.1,8.9
numquam,profecto,advérbio,27,5.3,4.1,10.5
numquam,enim,advérbio,20.4,2.7,2.4,9.8
numquam,uideo,verbo,22,2.5,2.2,9.7
numquam,tamen,advérbio,12.1,2.7,2.3,9.7
numquam,legatus,substantivo,8.6,3.4,2.8,9.7
numquam,quia,conj.subord.,8.5,3.4,2.8,9.7
numquam,littera,substantivo,7,3,2.5,9.5
numquam,quidem,advérbio,5.5,2.1,1.9,9.3
numquam,non,advérbio,16.2,1.6,1.6,9.2
numquam,sui,pronome,5.1,1.4,1.5,9
numquam,qui,pronome,15.7,1.3,1.4,9
numquam,sum,verbo,5.5,0.7,1,8.6
nunc,uero,advérbio,98.4,4.8,3.7,11.1
nunc,quoniam,conj.subord.,35.7,4.3,3.3,10.4
nunc,etiam,advérbio,41,2.8,2.4,10.3
nunc,adicio,verbo,40.8,6.5,4.7,10.3
nunc,quidem,advérbio,23,2.7,2.3,10.1
nunc,idem,determinante,19.9,2.7,2.3,10
nunc,ego,pronome,27.4,1.8,1.7,9.8
nunc,de,preposição,13.5,1.8,1.7,9.7
nunc,tu,pronome,11.9,1.4,1.4,9.5
nunc,uenio,verbo,7.4,2,1.8,9.5
nunc,qui,pronome,21.3,1.1,1.2,9.5
nunc,pertineo,verbo,9.9,3.7,3,9.4
nunc,redeo,verbo,8.4,3.3,2.7,9.4
nunc,reddo,verbo,7.9,3.2,2.6,9.4
nunc,absum,verbo,7.5,3.1,2.6,9.4
nunc,iter,substantivo,6.7,2.9,2.4,9.3
nunc,primus,adjetivo,5.2,2.4,2.1,9.2
nuntius,affero,verbo,18.5,5.9,4.7,10.4
nuntius,uenio,verbo,17.3,4.5,3.8,9.6
nuntius,Caesar,nome próprio,12.8,4.4,3.8,9.6
nuntius,unus,determinante,11.4,4.1,3.5,9.3
nuntius,per,preposição,11.4,4.1,3.5,9.3
nuntius,atque,conj.coord.,7.5,2.5,2.4,8.3
ob,quamobrem,advérbio,858.1,15.3,7.8,13.6
ob,res,substantivo,337.2,5.3,4.3,11.1
ob,causa,substantivo,19.8,3.7,3.2,9.9
ob,alius,determinante,9.1,2.9,2.6,9.4
ob,unus,determinante,6.3,2.7,2.5,9.2
ob,is,determinante,29.7,2.4,2.3,9.2
ob,hic,determinante,16,2.1,2,8.9
occido,Milo,nome próprio,17.6,5.7,4.3,10.4
occido,homo,substantivo,31.2,4.2,3.3,9.9
occido,suus,determinante,5.2,2.4,2.1,8.7
occido,sum,verbo,10.3,1.4,1.4,8.1
occupo,regnum,substantivo,17.9,5.7,4.5,10.5
occupo,uolo,verbo,7.6,3.1,2.7,9
occupo,ut,conj.subord.,6.1,1.9,1.9,8.3
occurro,tu,pronome,7.3,2.5,2.3,8.2
oculus,ante,preposição,163.6,7.4,5.7,12.1
oculus,mens,substantivo,12.1,4.3,3.6,10.1
oculus,nec,conj.coord.,8.2,2.7,2.5,9.4
oculus,omnis,determinante,10.7,2.1,2.1,9.1
oculus,in,preposição,6.5,1.2,1.5,8.6
odi,aut,conj.coord.,7.3,3,2.6,8.7
odi,atque,conj.coord.,6.9,2.4,2.2,8.3
odium,sine,preposição,15.6,4.2,3.5,10
offero,fors2,substantivo,46.4,10,7.3,11.9
officium,imperator,substantivo,14.3,4.8,3.9,10.2
officium,studium,substantivo,11.2,4.1,3.4,9.9
officium,meus,determinante,12.1,3,2.7,9.4
officium,de,preposição,17.8,2.9,2.6,9.4
officium,nullus,determinante,6.3,2.8,2.5,9.2
officium,tuus,determinante,7.9,2.6,2.4,9.2
officium,omnis,determinante,7.6,2,2,8.8
officium,in,preposição,6.2,1.3,1.5,8.4
officium,et,conj.coord.,7,1.3,1.5,8.3
olim,qui,pronome,5.9,1.7,1.8,7.5
omnis,res,substantivo,43.7,1.4,1.4,10.5
omnis,ex,preposição,45.1,1.7,1.6,10.5
omnis,que,conj.coord.,24.3,0.9,1.1,10.4
omnis,qui,pronome,10.3,0.4,0.8,10.3
omnis,ut,conj.subord.,15.3,0.8,1.1,10.3
omnis,cum,conj.subord.,12.6,0.7,1,10.2
omnis,in,preposição,6.8,0.4,0.8,10.2
omnis,hic,determinante,8.8,0.6,0.9,10.2
omnis,ab,preposição,8.2,0.7,1,10
omnis,copia,substantivo,55.4,3.4,2.7,10
omnis,boni,substantivo,77.9,4.7,3.5,9.9
omnis,per,preposição,18.8,1.6,1.6,9.9
omnis,iste,determinante,13,1.3,1.4,9.8
omnis,gens,substantivo,49.8,3.8,3,9.7
omnis,unus,determinante,12.6,1.4,1.5,9.7
omnis,nos,pronome,7.1,1,1.2,9.6
omnis,pars,substantivo,12.7,1.7,1.6,9.5
omnis,ciuis,substantivo,13.9,1.8,1.7,9.5
omnis,uos,pronome,6,1.1,1.2,9.5
omnis,scelus,substantivo,16.9,2.3,2,9.4
omnis,tempus,substantivo,5.5,1.1,1.3,9.4
omnis,Gallia,nome próprio,15.4,2.4,2.2,9.2
omnis,malum,substantivo,12.4,2.1,1.9,9.2
omnis,sermo,substantivo,13.3,2.4,2.1,9.1
omnis,ante,preposição,13,2.4,2.1,9.1
omnis,oculus,substantivo,13,2.4,2.1,9.1
omnis,uoluptas,substantivo,12.9,2.4,2.1,9.1
omnis,ordo,substantivo,12.1,2.3,2,9.1
omnis,reliquus,determinante,9,1.9,1.8,9.1
omnis,aetas,substantivo,8.4,1.8,1.7,9.1
onus,sui,pronome,6.1,2.7,2.5,8.3
opera,pretium,substantivo,54.5,8.1,6.1,11.5
opera,edo,verbo,34.5,7.8,5.9,11.2
opera,perdo,verbo,37.5,6.9,5.3,11.2
opera,do,verbo,111.8,5.5,4.4,11
opera,consilium,substantivo,9.2,3.5,3.1,9.6
opera,ut,conj.subord.,39.8,3.1,2.8,9.5
opera,suus,determinante,6.9,2.4,2.3,9
opera,meus,determinante,5.3,2.4,2.3,8.9
opera,que,conj.coord.,11.1,2,2,8.7
oportet,specto,verbo,19,6,4.7,10.6
oportet,puto,verbo,7.8,3.2,2.7,9.3
oportet,non,advérbio,31.1,2.6,2.3,9.1
oportet,ut,conj.subord.,5.6,1.7,1.7,8.5
oppidum,expugno,verbo,28.9,8.5,6.3,11
oppidum,pars,substantivo,9.2,3.5,3,9.6
oppidum,ex,preposição,20.6,3.1,2.8,9.5
oppidum,in,preposição,35.5,2.5,2.3,9.1
ops,fero,verbo,18,4,3.4,9.9
ops,an,conj.coord.,11.1,4,3.4,9.9
ops,tantus,determinante,7.7,3.1,2.8,9.4
ops,possum,verbo,6.9,2.1,2.1,8.8
ops,atque,conj.coord.,7.4,2,2,8.7
ops,et,conj.coord.,10.8,1.6,1.7,8.4
opto,mors,substantivo,13.3,4.6,3.8,9.9
opto,magis,advérbio,16.9,4.4,3.6,9.9
opto,quidem,advérbio,8.8,3.4,3,9.2
opto,aut,conj.coord.,5.8,2.6,2.4,8.7
opus,magnus,adjetivo,79.5,4.2,3.6,10.5
opus,tantus,determinante,35.8,4.2,3.6,10.4
opus,delecto,verbo,14.8,5,4.1,10.3
opus,quantus,determinante,8.8,3.4,3,9.7
opus,sum,verbo,27.9,1.7,1.8,8.8
oratio,longus,adjetivo,34.8,5.6,4.5,10.8
oratio,meus,determinante,65,4.3,3.6,10.6
oratio,perpetuus,adjetivo,18.2,5.8,4.6,10.5
oratio,genus,substantivo,14.7,4,3.4,10.1
oratio,habeo,verbo,14.3,2.7,2.5,9.5
oratio,autem,conj.coord.,5.7,2.6,2.4,9.3
orbis,terra,substantivo,258.4,8.4,6.3,12.3
orbis,totus,determinante,13.1,4.5,3.7,9.8
orbis,per,preposição,15,4.1,3.4,9.6
orbis,in,preposição,6.6,1.7,1.8,8
ordo,equester,adjetivo,59.8,8.9,6.4,11.4
ordo,amplus,adjetivo,15.1,5.1,4.1,10.3
ordo,longus,adjetivo,13.4,4.6,3.8,10.2
ordo,dignitas,substantivo,12.1,4.3,3.6,10
ordo,hic,determinante,92.2,3.3,2.8,9.9
ordo,totus,determinante,13.2,3.7,3.2,9.9
ordo,omnis,determinante,20.3,2.5,2.3,9.4
ordo,populus,substantivo,5.2,2.4,2.3,9.2
ordo,homo,substantivo,6.1,2.2,2.1,9.1
ordo,atque,conj.coord.,6.5,1.7,1.8,8.8
oro,obtestor,verbo,50.1,10.8,7.6,12
oro,deus,substantivo,12.6,4.4,3.6,9.6
oro,tu,pronome,59.9,4.3,3.5,9.6
oro,ut,conj.subord.,29.6,3.4,3,9
oro,facio,verbo,6.5,2.8,2.5,8.5
oro,atque,conj.coord.,10.6,2.8,2.5,8.5
os,uos,pronome,13.3,3.7,3.2,9.6
os,per,preposição,8.3,3.3,2.9,9.3
os2,et,conj.coord.,10.8,2.8,2.5,7.5
ostendo,uirtus,substantivo,9.3,3.6,3,9.6
ostendo,uolo,verbo,9.8,3,2.6,9.3
ostendo,nihil,pronome,5.7,2.6,2.3,9
ostendo,suus,determinante,7.3,2.5,2.2,9
otium,tantus,determinante,9.4,3.6,3.1,9.4
otium,quidem,advérbio,8.3,3.3,2.9,9.2
otium,ad,preposição,13.2,2.6,2.4,8.8
otium,atque,conj.coord.,7.3,2.2,2.1,8.5
otium,in,preposição,15.1,2.1,2,8.5
otium,non,advérbio,5.5,1.6,1.7,8.2
paene,iam,advérbio,7.8,3.2,2.9,9.2
paene,publicus,adjetivo,7,2.9,2.7,9
paene,sed,conj.coord.,5.6,2.1,2.1,8.5
paene,ut,conj.subord.,5.5,1.8,1.9,8.3
par,interuallum,substantivo,24.9,7.5,5.7,10.9
par,ceterus,determinante,23.4,4.8,3.9,10.4
par,uirtus,substantivo,14,3.9,3.3,9.8
par,facio,verbo,5.6,2.1,2.1,8.8
par,sum,verbo,17.7,1.6,1.7,8.5
parens,patria,substantivo,17.1,5.5,4.4,10.4
parens,tuus,determinante,6.7,2.9,2.6,8.9
parens,tu,pronome,13.1,2.5,2.4,8.8
parens,ab,preposição,8.3,2.4,2.2,8.6
pareo,imperium,substantivo,15.9,5.2,4.1,10.1
pareo,semper,advérbio,14.8,5,3.9,10
pareo,senatus,substantivo,11.2,4.1,3.3,9.4
pareo,non,advérbio,8.2,2.1,1.9,8.2
pario,ante2,advérbio,20.8,6.4,5,10.4
paro,amicus,substantivo,14.8,4,3.3,10
paro,bellum,substantivo,15.7,3.6,3,9.8
paro,causa,substantivo,9.9,3.1,2.6,9.5
paro,locus,substantivo,6.3,2.7,2.4,9.2
pars,alter,determinante,64.8,4.5,3.7,10.9
pars,magnus,adjetivo,97.9,3.5,3,10.8
pars,uterque,determinante,37.8,4.9,3.9,10.5
pars,ex,preposição,39.2,2.6,2.4,10.2
pars,flumen,substantivo,20.7,4.4,3.6,10.1
pars,inferus,adjetivo,20.3,5.1,4,10
pars,reliquus,determinante,14.8,3.5,2.9,9.9
pars,tres,numeral,17,4.5,3.6,9.9
pars,dimitto,verbo,16.8,4.4,3.6,9.9
pars,bonus,adjetivo,12.1,2.4,2.2,9.8
pars,Gallia,nome próprio,12.1,3.5,3,9.8
pars,accusatio,substantivo,18.2,5.9,4.5,9.8
pars,is,determinante,31,1.7,1.7,9.7
pars,omnis,determinante,15.9,1.7,1.8,9.7
pars,ullus,determinante,9.4,3,2.6,9.7
pars,equitatus,substantivo,11.9,4.3,3.5,9.7
pars,corpus,substantivo,8.8,2.8,2.5,9.6
pars,aliquis,pronome,8.7,2.2,2.1,9.6
pars,oppidum,substantivo,9.3,3.6,3,9.6
pars,suus,determinante,6.7,1.6,1.6,9.4
pars,in,preposição,16,1.2,1.4,9.4
pars,duo,numeral,6,2.7,2.4,9.4
pars,aetas,substantivo,5.9,2.6,2.4,9.4
pars,quisque,determinante,5.7,2.6,2.4,9.4
parum,commode,advérbio,29.2,6.8,5.2,10.4
parum,ualeo,verbo,21.8,4.6,3.7,10.3
parum,moleste,advérbio,20.6,6.5,5,10.1
parum,obscurus,adjetivo,20.1,6.3,4.9,10.1
parum,mirus,adjetivo,17.3,5.6,4.4,10.1
parum,qua,advérbio,31.7,2.8,2.5,10
parum,doleo,verbo,14.8,5,4,10
parum,timeo,verbo,11.8,3.5,3,9.9
parum,nec,conj.coord.,14.2,2.7,2.5,9.8
parum,uitium,substantivo,9.7,3.7,3.1,9.8
parum,si,conj.subord.,27.3,2.3,2.2,9.8
parum,non,advérbio,28.9,1.9,1.9,9.5
paruus,quidem,advérbio,14.6,3,2.7,9.8
paruus,periculum,substantivo,8.4,3.3,2.9,9.7
paruus,qua,advérbio,17,2.6,2.4,9.6
paruus,uos,pronome,7.7,2.6,2.4,9.4
paruus,ex,preposição,10.1,2.2,2.1,9.3
paruus,aut,conj.coord.,8.8,2.2,2.1,9.3
paruus,magnus,adjetivo,8.6,2.2,2.1,9.3
paruus,non,advérbio,22.1,2,2,9.2
paruus,ne,conj.subord.,5.6,1.8,1.9,9.1
pateo,late,advérbio,41,9,6.6,11.7
pateo,domus,substantivo,16.3,5.3,4.3,10.2
pateo,non,advérbio,11.7,2.4,2.2,8.3
pater,conscribo,verbo,1132.9,11.4,6.6,13.2
pater,familia,substantivo,51.2,6.1,4.7,10.8
pater,nascor,verbo,37.2,4.8,3.9,10.6
pater,auus,substantivo,24.9,6,4.7,10.2
pater,censeo,verbo,18.6,4.8,3.9,10.1
pater,uos,pronome,20.2,2.9,2.6,10.1
pater,immortalis,adjetivo,13.3,3.8,3.2,9.9
pater,accipio,verbo,13.1,3.2,2.8,9.9
pater,tuus,determinante,17.5,2.4,2.3,9.9
pater,noster,determinante,13.6,2.4,2.3,9.8
pater,bonus,adjetivo,10,2.4,2.3,9.7
pater,ab,preposição,18.3,1.9,1.9,9.7
pater,memoria,substantivo,7.8,3.2,2.8,9.6
pater,uester,determinante,7.3,2.5,2.3,9.6
pater,mitto,verbo,7,2.5,2.3,9.6
patior,facile,advérbio,39.8,5.5,4.4,10.9
patior,non,advérbio,27.1,2.1,2,9.3
patior,uir,substantivo,5.4,2.5,2.3,9.3
patior,ne,conj.subord.,6.1,2,1.9,9.1
patior,possum,verbo,5.7,1.7,1.7,8.9
patior,ego,pronome,7.3,1.5,1.6,8.8
patior,sum,verbo,18.1,1.3,1.5,8.8
patria,careo,verbo,41.7,6.5,5,11.1
patria,pro,preposição,57.1,5.2,4.2,10.9
patria,parens,substantivo,17.1,5.6,4.4,10.4
patria,contra,preposição,18,4.7,3.8,10.3
patria,reddo,verbo,13.9,4.7,3.9,10.2
patria,salus,substantivo,16.5,4.4,3.6,10.2
patria,periculum,substantivo,15.3,4.1,3.5,10.1
patria,capio,verbo,11,4,3.4,9.9
patria,ciuis,substantivo,8.7,3.4,3,9.7
patria,bellum,substantivo,10.2,3.1,2.8,9.6
patria,hostis,substantivo,7.4,3.1,2.7,9.5
patria,uir,substantivo,6.3,2.7,2.5,9.3
patria,qua,advérbio,9.9,2.4,2.2,9.2
patria,in,preposição,11.6,1.5,1.7,8.7
patria,que,conj.coord.,7.4,1.5,1.7,8.7
pauci,ex,preposição,7,2.9,2.6,8.5
pauci,si,conj.subord.,8.4,2.7,2.5,8.4
paulo,ante2,advérbio,306.4,8.5,6.4,12.5
paulo,post2,advérbio,39.9,7.2,5.6,11.3
paulo,ante,preposição,16.2,5.3,4.4,10.4
paulo,qui,pronome,5.6,1.2,1.5,8
pauper,sum,verbo,25.3,2.6,2.4,8
pax,auctor,substantivo,24,5.8,4.5,10.6
pax,mitto,verbo,28.6,4.3,3.5,10.4
pax,uictor,substantivo,17.2,5.6,4.4,10.3
pax,condicio,substantivo,16.8,5.5,4.3,10.3
pax,peto,verbo,13.6,3.8,3.2,10
pax,Antonius,nome próprio,10.7,3.9,3.3,9.9
pax,de,preposição,28.6,3,2.6,9.8
pax,spes,substantivo,9.2,3.5,3,9.7
pax,semper,advérbio,8.7,3.4,2.9,9.7
pax,in,preposição,19.8,1.8,1.8,9
pax,facio,verbo,5.6,1.8,1.8,9
pax,cum,conj.subord.,10,1.7,1.7,9
pax,ad,preposição,7.3,1.6,1.7,8.9
pectus,ex,preposição,5,2.4,2.3,8.5
pecunia,repeto,verbo,100.6,8.2,6,11.8
pecunia,grandis,adjetivo,35.5,8,5.9,11
pecunia,magnitudo,substantivo,33.8,6.3,4.9,10.9
pecunia,soluo,verbo,26.8,6.3,4.9,10.8
pecunia,polliceor,verbo,26.3,6.2,4.8,10.8
pecunia,de,preposição,28.6,3.2,2.7,9.7
pecunia,modus,substantivo,8.8,3.4,2.9,9.6
pecunia,do,verbo,12.6,3.1,2.7,9.6
pecunia,publicus,adjetivo,11.5,2.9,2.6,9.5
pecunia,magnus,adjetivo,8.3,2.4,2.2,9.1
pecunia,suus,determinante,5.5,2.1,2,8.9
pecus,magnus,adjetivo,11.4,4.1,3.5,8.7
pecus,atque,conj.coord.,12.2,3.5,3.1,8.3
pello,supero,verbo,24.5,7.3,5.7,11.1
pello,hostis,substantivo,13.7,4.7,3.9,9.7
pello,atque,conj.coord.,11.4,2.9,2.7,8.5
per,deus,substantivo,74.8,3.8,3.2,10.8
per,sui,pronome,87.1,2.7,2.4,10.7
per,uis,substantivo,31.7,3.4,2.9,10.3
per,littera,substantivo,28.8,3.4,2.9,10.2
per,triennium,substantivo,62.5,8.6,5.6,10.2
per,senatus,substantivo,21,2.6,2.3,10.1
per,explorator,substantivo,47.4,7.5,5.3,10.1
per,ipse,determinante,22.1,2,1.9,10
per,prouincia,substantivo,18.9,3.3,2.8,9.9
per,iter,substantivo,17.3,3.4,2.9,9.9
per,annus,substantivo,15.6,3.2,2.7,9.8
per,omnis,determinante,13.1,1.4,1.5,9.8
per,tot,determinante,17.6,3.9,3.2,9.8
per,uos,pronome,9.7,1.9,1.9,9.7
per,finis,substantivo,11.5,2.9,2.6,9.6
per,tu,pronome,8.4,1.1,1.3,9.6
per,orbis,substantivo,15.5,4.2,3.4,9.6
per,ego,pronome,8,1,1.2,9.6
per,medius,adjetivo,12.5,3.6,3,9.5
per,alius,determinante,5.3,1.5,1.6,9.5
per,aetas,substantivo,7.1,2.5,2.3,9.4
per,qui,pronome,6,0.6,1,9.4
per,recordor,verbo,15.8,5.3,4.1,9.4
per,aura,substantivo,14.9,5.1,4,9.4
per,decem,numeral,14.9,5.1,4,9.4
per,nuntius,substantivo,12.3,4.4,3.5,9.3
per,Cicero,nome próprio,11.9,4.3,3.5,9.3
per,magistratus,substantivo,9.6,3.7,3,9.3
per,traho,verbo,9.5,3.6,3,9.3
per,ager,substantivo,5.7,2.6,2.3,9.2
perdo,opera,substantivo,38.5,7,5.3,11.2
perdo,omnis,determinante,6.4,2.3,2.1,8.4
periculum,libero,verbo,42,5.8,4.6,10.8
periculum,subeo,verbo,25.3,6.1,4.8,10.4
periculum,labor,substantivo,19.5,4.2,3.5,10.3
periculum,meus,determinante,29.5,3,2.8,10.2
periculum,tantus,determinante,20.5,3.1,2.8,10.1
periculum,metus,substantivo,14.5,4,3.4,10.1
periculum,seruitus,substantivo,15.7,5.2,4.2,10.1
periculum,caput,substantivo,13.9,3.9,3.3,10
periculum,magnitudo,substantivo,12.8,4.5,3.7,10
periculum,eripio,verbo,11.3,4.1,3.5,9.9
periculum,sine,preposição,12.2,3,2.7,9.9
periculum,magnus,adjetivo,19.1,2.4,2.3,9.8
periculum,patria,substantivo,9.7,3.7,3.2,9.8
periculum,mors,substantivo,9.5,3,2.7,9.8
periculum,amicus,substantivo,9.1,2.9,2.7,9.7
periculum,paruus,adjetivo,8.2,3.3,2.9,9.7
periculum,ciuis,substantivo,8.8,2.8,2.6,9.7
periculum,ullus,determinante,7.2,3,2.7,9.6
periculum,superus,,7.5,2.6,2.4,9.6
periculum,uita,substantivo,7.1,2.5,2.4,9.6
periculum,publicus,adjetivo,8.2,2.1,2.1,9.5
periculum,iudicium,substantivo,6,2.7,2.5,9.5
periculum,uel,conj.coord.,5.9,2.6,2.5,9.5
permitto,que,conj.coord.,5.7,2.2,2,7.9
perpetuus,oratio,substantivo,17.8,5.7,4.6,10.5
perpetuus,pax,substantivo,17.1,5.5,4.5,10.4
perpetuus,meus,determinante,12.8,3.6,3.2,9.3
perpetuus,in,preposição,33.3,2.8,2.6,8.8
pertineo,arbitror,verbo,45.6,6.1,4.8,11
pertineo,magis,advérbio,9.6,3.6,3.1,9.5
pertineo,nunc,advérbio,9.1,3.5,3,9.4
pertineo,nihil,pronome,10.5,3.2,2.8,9.3
pertineo,ad,preposição,18.5,2.7,2.4,9
pertineo,hic,determinante,9.7,1.9,1.9,8.5
peruenio,castra,substantivo,27.3,5.4,4.2,10.5
peruenio,ea,advérbio,16.1,5.3,4.2,10.3
peruenio,ad,preposição,5.3,1.8,1.7,8.4
pes,altitudo,substantivo,28,8.3,6.2,11.1
pes,refero,verbo,30.8,5.9,4.7,10.8
pes,ad,preposição,17.3,2.6,2.4,9
peto,consulatus,substantivo,57.3,6.1,4.6,11
peto,auxilium,substantivo,25.2,5.1,4,10.4
peto,silua,substantivo,20.5,5.1,4,10.2
peto,pax,substantivo,14.1,3.9,3.2,10
peto,ferrum,substantivo,14.2,4.8,3.8,9.9
peto,unde,advérbio,12.4,4.4,3.5,9.9
peto,salus,substantivo,12,3.5,2.9,9.9
peto,plebs,substantivo,11.7,4.2,3.4,9.8
peto,coepio,verbo,10.2,3.8,3.1,9.8
peto,Caesar,nome próprio,10.4,2.7,2.4,9.7
peto,causa,substantivo,8.4,2.4,2.1,9.5
peto,rex,substantivo,6.8,2.9,2.5,9.5
peto,ab,preposição,11.2,1.7,1.7,9.3
peto,per,preposição,5.4,2.1,1.9,9.3
peto,ut,conj.subord.,8,1.4,1.4,9.1
pietas,uel,conj.coord.,24.2,5.8,4.6,10.3
pietas,ab,preposição,5.4,2.5,2.4,8.1
pius,Aeneas,nome próprio,35.1,10,7.5,11.9
placeo,fio,verbo,14.2,3.9,3.2,9.9
placeo,igitur,advérbio,11,4,3.3,9.9
placeo,magis,advérbio,7.8,3.1,2.7,9.4
placeo,tu,pronome,27.3,2.7,2.4,9.4
placeo,senatus,substantivo,6.9,2.9,2.5,9.3
placeo,ita,advérbio,6.3,2.7,2.4,9.2
placeo,si,conj.subord.,13,2.3,2.1,9.1
placeo,non,advérbio,5.3,1.4,1.5,8.4
plebs,tribunus,substantivo,758.2,11.2,7.5,13.5
plebs,tribunatus,substantivo,30.8,9.1,6.6,11
plebs,peto,verbo,10.8,4,3.4,9.8
plebs,fio,verbo,9.7,3.7,3.2,9.7
plenus,manus,substantivo,12,4.3,3.5,9.8
plenus,sed,conj.coord.,5.7,2.2,2,8.5
plenus,et,conj.coord.,5.1,1.3,1.4,7.9
plenus,sum,verbo,5.5,1.2,1.3,7.8
plerique,uideo,verbo,8.8,3.4,3,8.5
plerusque,sed,conj.coord.,18.9,4.1,3.5,8.7
poena,luo,verbo,41.4,9.2,6.7,11.3
poena,scelus,substantivo,19.1,4.8,4,10.3
poena,do,verbo,35.2,4.2,3.5,10.2
poena,mors,substantivo,10.5,3.9,3.3,9.8
poena,iste,determinante,5.6,2.5,2.4,9.1
poena,publicus,adjetivo,5.2,2.4,2.3,9
poeta,atque,conj.coord.,6.9,2.9,2.6,8
pono,ante,preposição,25.1,5.1,4,10.5
pono,castra,substantivo,27.2,4.7,3.8,10.5
pono,praesidium,substantivo,11.8,4.2,3.5,10
pono,locus,substantivo,16.4,3.3,2.8,9.9
pono,tempus,substantivo,9.2,2.9,2.6,9.6
pono,uita,substantivo,6.1,2.7,2.4,9.4
populus,romanus,adjetivo,2972.1,8.8,5.7,13.5
populus,uniuersus,determinante,60.6,5.9,4.5,10.5
populus,libertas,substantivo,45.9,4.4,3.6,10.5
populus,imperium,substantivo,42.4,3.9,3.2,10.5
populus,senatus,substantivo,32.5,2.9,2.6,10.3
populus,que,conj.coord.,54.8,1.9,1.9,10.2
populus,beneficium,substantivo,29.7,4.5,3.6,10.1
populus,socius,substantivo,14.5,3.4,2.9,9.7
populus,suffragium,substantivo,27.7,6.6,4.9,9.7
populus,existimatio,substantivo,23.5,5.8,4.4,9.7
populus,pro,preposição,9.1,2.2,2.1,9.6
populus,bellum,substantivo,8.2,1.9,1.9,9.6
populus,senator,substantivo,17.8,4.6,3.7,9.6
populus,per,preposição,6.9,1.7,1.7,9.6
populus,nomen,substantivo,8.1,2.3,2.2,9.5
populus,iussus,substantivo,17.6,5.8,4.4,9.4
populus,salus,substantivo,6.4,2.3,2.2,9.4
populus,Fortuna,nome próprio,15.1,5.1,4,9.4
populus,pernicies,substantivo,13.8,4.8,3.8,9.4
populus,carus,adjetivo,9.2,3.6,3,9.3
populus,liber,adjetivo,8.7,3.4,2.9,9.3
populus,praetor,substantivo,6.7,2.9,2.5,9.2
populus,uoluntas,substantivo,5.9,2.6,2.4,9.2
populus,imperator,substantivo,5.6,2.6,2.3,9.2
populus,uersus,substantivo,5,2.4,2.2,9.2
porta,ad,preposição,9.5,3,2.7,8.2
possum,non,advérbio,860.5,3.2,2.6,11.8
possum,fio,verbo,103.9,3.5,2.8,10.6
possum,dico,verbo,20.7,1.3,1.4,10.1
possum,fero,verbo,39.5,2.4,2.1,10.1
possum,quis,pronome,14.2,0.9,1.1,10.1
possum,nemo,pronome,49.1,3,2.5,10.1
possum,modus,substantivo,40,2.7,2.3,10
possum,si,conj.subord.,10.4,0.9,1,10
possum,nihil,pronome,21.8,1.6,1.6,10
possum,efficio,verbo,69.7,4.5,3.4,10
possum,ne,conj.subord.,14.4,1.2,1.3,10
possum,ut,conj.subord.,5.7,0.6,0.9,10
possum,scio,verbo,27.2,2.3,2,9.9
possum,enim,advérbio,9.7,1.1,1.2,9.8
possum,quantum,advérbio,58.6,4.5,3.4,9.8
possum,facio,verbo,6,0.8,1,9.8
possum,intellego,verbo,28.3,2.7,2.3,9.7
possum,perspicio,verbo,46.4,4.3,3.3,9.7
possum,nec,conj.coord.,8.6,1.3,1.3,9.6
possum,nisi,conj.subord.,14.6,1.9,1.7,9.6
possum,multum,advérbio,27.4,3.1,2.6,9.5
possum,capio,verbo,19,2.5,2.1,9.5
possum,consequor,verbo,33.4,3.8,3,9.5
possum,quidem,advérbio,5.5,1.1,1.2,9.5
possum,quantus,determinante,12.9,1.9,1.8,9.5
possum,arbitror,verbo,14.7,2.4,2.1,9.3
possum,prouideo,verbo,28.8,4.1,3.1,9.3
possum,sustineo,verbo,23.9,3.5,2.8,9.2
possum,sine,preposição,6.2,1.4,1.4,9.2
possum,inuenio,verbo,15.5,2.6,2.2,9.2
post,tergum,substantivo,43.3,7.8,5.8,11.2
post,discessus,substantivo,40.2,9,6.4,11
post,mors,substantivo,61.2,5.5,4.3,11
post,paucus,determinante,22.6,5.5,4.4,10.6
post,dies,substantivo,40.4,4.3,3.6,10.4
post,annus,substantivo,11.7,4.2,3.5,10
post,homo,substantivo,22.6,3.3,2.9,9.8
post,unus,determinante,5.5,2.5,2.3,9.2
post,hic,determinante,24.7,2.3,2.2,9.2
post,etiam,advérbio,5.4,2.1,2,9
post,ego,pronome,7.1,1.6,1.7,8.7
post,is,determinante,5.5,1.3,1.5,8.5
postea,quam,conj.subord.,78.8,7.8,5.9,11.8
postea,uero,advérbio,38.4,5.4,4.3,10.7
postea,quis,pronome,11.5,2.3,2.2,8.8
postea,uideo,verbo,6.4,2.3,2.2,8.7
postea,qui,pronome,5.4,1.2,1.4,8
posterus,dies,substantivo,44.8,6,4.7,10.2
posterus,in,preposição,28.1,3.3,2.8,8.4
postquam,Caesar,nome próprio,17.6,4.6,3.6,9.8
postquam,sed,conj.coord.,19.9,3.3,2.8,9.1
potens,rex,substantivo,22.3,5.4,4.4,10.3
potens,tam,advérbio,11,4,3.4,9.4
