lemma,collocate,pos,LogL,LR,MI,LogDice
aliquis,ratio,substantivo,27.6,3.6,3,10.2
aliquis,ex,preposição,29.7,2.1,2.1,10.2
aliquis,aut,conj.coord.,22.8,2.1,2,10.1
aliquis,cottidie,advérbio,28.9,4.9,3.9,10.1
aliquis,tamen,advérbio,17,2.3,2.2,10
aliquis,fors,advérbio,17.9,3.5,3,9.9
aliquis,casus,substantivo,17.7,3.9,3.3,9.8
aliquis,ago,verbo,11.3,2.1,2.1,9.8
aliquis,spes,substantivo,12.7,2.8,2.5,9.8
aliquis,scribo,verbo,11.2,2.3,2.2,9.8
aliquis,dico,verbo,10.7,1.5,1.6,9.7
aliquis,modus,substantivo,9.9,2.4,2.2,9.7
aliquis,pretium,substantivo,19.6,5,4,9.7
aliquis,habeo,verbo,8.6,1.5,1.6,9.7
aliquis,cum,conj.subord.,11.3,1.1,1.4,9.7
aliquis,pars,substantivo,8.4,2.1,2.1,9.6
aliquis,puto,verbo,5.9,1.7,1.8,9.5
aliquis,bonum,substantivo,6.6,2.4,2.2,9.4
aliquis,proficio,verbo,13.4,4.7,3.8,9.4
aliquis,semper,advérbio,5.2,2,2,9.4
aliquis,suspicio,substantivo,9.5,3.6,3.1,9.4
aliquis,reperio,verbo,8.4,3.3,2.9,9.3
aliquis,aliquando,advérbio,8.4,3.3,2.9,9.3
aliquis,talis,determinante,5.9,2.6,2.4,9.2
aliquis,et2,advérbio,5.8,2.6,2.4,9.2
aliter,qua,advérbio,37.3,4.4,3.6,9.7
aliter,neque,conj.coord.,10.1,3.8,3.2,9.2
aliter,si,conj.subord.,24.9,3.6,3.1,9.1
aliter,non,advérbio,27.2,3.1,2.7,8.8
aliter,enim,advérbio,7.5,3.1,2.7,8.8
aliter,possum,verbo,8.6,2.8,2.5,8.6
aliter,facio,verbo,6.3,2.7,2.5,8.5
alius,nihil,pronome,44.1,2.8,2.3,10.4
alius,nisi,conj.subord.,23.3,3,2.4,10
alius,item,advérbio,30.2,4.5,3.4,10
alius,quidam,determinante,19.6,2.8,2.3,9.9
alius,ullus,determinante,18.6,3.2,2.6,9.8
alius,quisquam,pronome,17.5,3.1,2.5,9.8
alius,autem,conj.coord.,14.4,2.3,2,9.8
alius,ab,preposição,15.2,1.5,1.4,9.8
alius,ago,verbo,11.3,2.1,1.8,9.7
alius,apud,preposição,11.5,2.6,2.2,9.6
alius,in,preposição,12.9,0.9,1,9.6
alius,tempus,substantivo,9.2,2.1,1.8,9.6
alius,ex,preposição,7.6,1.3,1.3,9.5
alius,multus,determinante,6.6,1.4,1.4,9.5
alius,qua2,advérbio,10,2.7,2.2,9.5
alius,ob,preposição,10.9,3.3,2.6,9.4
alius,quisquis,pronome,9.2,2.9,2.4,9.3
alius,ratio,substantivo,6.6,2.4,2,9.2
alius,alia,advérbio,15,5.1,3.8,9.2
alius,sicut,conj.subord.,9.8,3.7,2.9,9.1
alius,cado,verbo,7.9,3.2,2.6,9.1
alius,sub,preposição,7.5,3.1,2.5,9.1
alius,praeter,preposição,7.2,3,2.4,9.1
alius,longe,advérbio,6.7,2.9,2.3,9.1
alo,non,advérbio,6.8,2.4,2.3,7.8
alter,pars,substantivo,85.3,5.1,3.8,11
alter,ambo,determinante,23.4,7.2,5.1,10.1
alter,genus,substantivo,12.2,3.5,2.8,9.8
